eta,domain,attribution_rate,misattribution_rate,label_recovery_rate
0.0,RLV,1.0,1.0,0.9007905358376533
0.0,Healthcare,1.0,1.0,0.9286663593337021
0.002,RLV,0.9950186965811966,0.20206408838399711,0.9037190018237196
0.002,Healthcare,0.9916752280849643,0.24774280369807417,0.936450691135516
0.005,RLV,0.9868693490852583,0.16235907469993816,0.9029765913403047
0.005,Healthcare,0.9870449250546613,0.20087588671153167,0.937557841969026
0.01,RLV,0.9754206205841459,0.12610336223502877,0.9019800234837099
0.01,Healthcare,0.9838449250546614,0.17812568172311583,0.937425636786583
0.02,RLV,0.9129181493857214,0.0915555068139436,0.9004035512510089
0.02,Healthcare,0.9569247420598334,0.10652950936411407,0.9402865522554593
0.03,RLV,0.7632439841662404,0.050096107164972384,0.8874682561612653
0.03,Healthcare,0.8884622445843542,0.06346755609931755,0.9373391329387644
0.05,RLV,0.44609472851920196,0.0,0.8740403485898579
0.05,Healthcare,0.5846580104141971,0.012048048845899053,0.9302528450766253
