xi_threshold,domain,proceed,quarantine_repair,inadmissible
0.02,RLV,0.5652642934196332,0.30312837108953616,0.13160733549083065
0.02,Healthcare,0.5997745208568207,0.25140924464487036,0.1488162344983089
0.05,RLV,0.8230852211434736,0.045307443365695796,0.13160733549083065
0.05,Healthcare,0.8105975197294251,0.040586245772266064,0.1488162344983089
0.08,RLV,0.8651564185544768,0.003236245954692557,0.13160733549083065
0.08,Healthcare,0.8444193912063134,0.006764374295377677,0.1488162344983089
0.1,RLV,0.8683926645091694,0.0,0.13160733549083065
0.1,Healthcare,0.8500563697857948,0.0011273957158962795,0.1488162344983089
0.15,RLV,0.8683926645091694,0.0,0.13160733549083065
0.15,Healthcare,0.8511837655016911,0.0,0.1488162344983089
0.2,RLV,0.8683926645091694,0.0,0.13160733549083065
0.2,Healthcare,0.8511837655016911,0.0,0.1488162344983089
0.3,RLV,0.8683926645091694,0.0,0.13160733549083065
0.3,Healthcare,0.8511837655016911,0.0,0.1488162344983089
