domain,variance_pct,n_seeds,kappa_mean,kappa_sd,cv
RLV,3,25,0.8338189121883639,0.06056633523512445,0.07263727693123156
RLV,5,25,0.7570070020318167,0.08681392422142546,0.11468047717975627
RLV,9,25,0.6440897689961079,0.13072433433867656,0.20295980565321864
RLV,12,25,0.5502281172059615,0.1595381903117621,0.28994917802799913
RLV,15,25,0.49667384566033124,0.19040702889129568,0.38336431554624795
RLV,17,25,0.4598684583118583,0.25869378355851275,0.5625386540058819
RLV,20,25,0.26450218580481233,0.24904634307741097,0.9415662948857183
RLV,22,25,0.2731311518974412,0.19725902824977815,0.7222135844974853
RLV,25,25,0.24623787996346164,0.2510618342465234,1.0195906262829162
RLV,30,25,0.1706556236913384,0.25140658328278576,1.4731807709864873
RLV,40,25,0.007816533942100325,0.19416229942351138,24.83994835329013
Healthcare,3,25,0.8867404078916888,0.04099885337731379,0.04623546306499389
Healthcare,5,25,0.8246733726665019,0.07433688834362129,0.0901410071035277
Healthcare,9,25,0.7203284294058646,0.12199800832433479,0.16936442231630394
Healthcare,12,25,0.615293613634484,0.16893103238227802,0.27455352800497573
Healthcare,15,25,0.5496898177706618,0.2069167103476115,0.3764244918830569
Healthcare,17,25,0.5221332542543491,0.2616635323257249,0.5011432047158207
Healthcare,20,25,0.3204690365357516,0.2570588476003469,0.8021331807251506
Healthcare,22,25,0.3434564342912171,0.2216455434123361,0.6453381601941474
Healthcare,25,25,0.2895285147352433,0.253709855258576,0.8762862459007833
Healthcare,30,25,0.2246864153610189,0.28013971916518554,1.2468030998450264
Healthcare,40,25,0.05173437268700867,0.2089252295553352,4.038422014302295
