domain,seed_runs,pairs,forfeit,worsened,cost_median
RLV,5,12,0.47750485067014314,0.16666666666666666,0.004780860774834788
RLV,10,17,0.3979375223057437,0.11764705882352941,0.0030422483117338635
RLV,20,23,0.3909907725529907,0.08695652173913043,0.0033482690878233693
RLV,40,31,0.4060083309847281,0.0967741935483871,0.003904868275985591
RLV,80,32,0.41777263043888396,0.09375,0.003978860677581862
RLV,150,32,0.41777263043888396,0.09375,0.003978860677581862
RLV,250,32,0.41777263043888396,0.09375,0.003978860677581862
RLV,400,32,0.41777263043888396,0.09375,0.003978860677581862
Healthcare,5,9,0.7751242617834045,0.1111111111111111,0.021160670358108535
Healthcare,10,15,0.9039599795773828,0.3333333333333333,0.02154382414279022
Healthcare,20,26,0.7390077245434692,0.2692307692307692,0.023695253177138813
Healthcare,40,31,0.7265847855372312,0.25806451612903225,0.02509157425090934
Healthcare,80,32,0.7295030614910071,0.25,0.02444414466003461
Healthcare,150,32,0.7295030614910071,0.25,0.02444414466003461
Healthcare,250,32,0.7295030614910071,0.25,0.02444414466003461
Healthcare,400,32,0.7295030614910071,0.25,0.02444414466003461
