k,domain,method,reference,n,agree_with_counterfactual
0,RLV,shapley,pool,150,0.2933333333333333
0,RLV,shapley,local,150,0.8666666666666667
0,RLV,lime,local,150,0.8333333333333334
0,RLV,lime,pool,150,0.2933333333333333
0,RLV,shapley_vs_lime,pool,150,0.5533333333333333
0,RLV,shapley_vs_lime,local,150,0.8666666666666667
0,Healthcare,shapley,pool,150,0.3266666666666666
0,Healthcare,shapley,local,150,0.84
0,Healthcare,lime,local,150,0.9
0,Healthcare,lime,pool,150,0.2333333333333333
0,Healthcare,shapley_vs_lime,pool,150,0.3933333333333333
0,Healthcare,shapley_vs_lime,local,150,0.8866666666666667
1,RLV,shapley,pool,150,0.2066666666666666
1,RLV,shapley,local,150,0.8266666666666667
1,RLV,lime,local,150,0.8066666666666666
1,RLV,lime,pool,150,0.2266666666666666
1,RLV,shapley_vs_lime,pool,150,0.3933333333333333
1,RLV,shapley_vs_lime,local,150,0.86
1,Healthcare,shapley,pool,150,0.1866666666666666
1,Healthcare,shapley,local,150,0.8666666666666667
1,Healthcare,lime,local,150,0.8933333333333333
1,Healthcare,lime,pool,150,0.3533333333333333
1,Healthcare,shapley_vs_lime,pool,150,0.3333333333333333
1,Healthcare,shapley_vs_lime,local,150,0.8666666666666667
2,RLV,shapley,pool,150,0.28
2,RLV,shapley,local,150,0.8733333333333333
2,RLV,lime,local,150,0.86
2,RLV,lime,pool,150,0.2466666666666666
2,RLV,shapley_vs_lime,pool,150,0.7133333333333334
2,RLV,shapley_vs_lime,local,150,0.8533333333333334
2,Healthcare,shapley,pool,150,0.1666666666666666
2,Healthcare,shapley,local,150,0.8466666666666667
2,Healthcare,lime,local,150,0.8533333333333334
2,Healthcare,lime,pool,150,0.1866666666666666
2,Healthcare,shapley_vs_lime,pool,150,0.8
2,Healthcare,shapley_vs_lime,local,150,0.8333333333333334
3,RLV,shapley,pool,150,0.3
3,RLV,shapley,local,150,0.84
3,RLV,lime,local,150,0.84
3,RLV,lime,pool,150,0.3466666666666667
3,RLV,shapley_vs_lime,pool,150,0.3533333333333333
3,RLV,shapley_vs_lime,local,150,0.8133333333333334
3,Healthcare,shapley,pool,150,0.1933333333333333
3,Healthcare,shapley,local,150,0.8666666666666667
3,Healthcare,lime,local,150,0.8733333333333333
3,Healthcare,lime,pool,150,0.2133333333333333
3,Healthcare,shapley_vs_lime,pool,150,0.7533333333333333
3,Healthcare,shapley_vs_lime,local,150,0.8733333333333333
4,RLV,shapley,pool,150,0.2333333333333333
4,RLV,shapley,local,150,0.8533333333333334
4,RLV,lime,local,150,0.8533333333333334
4,RLV,lime,pool,150,0.3333333333333333
4,RLV,shapley_vs_lime,pool,150,0.68
4,RLV,shapley_vs_lime,local,150,0.9
4,Healthcare,shapley,pool,150,0.24
4,Healthcare,shapley,local,150,0.8733333333333333
4,Healthcare,lime,local,150,0.9133333333333332
4,Healthcare,lime,pool,150,0.24
4,Healthcare,shapley_vs_lime,pool,150,0.82
4,Healthcare,shapley_vs_lime,local,150,0.8866666666666667
5,RLV,shapley,pool,150,0.1933333333333333
5,RLV,shapley,local,150,0.8
5,RLV,lime,local,150,0.86
5,RLV,lime,pool,150,0.2533333333333333
5,RLV,shapley_vs_lime,pool,150,0.54
5,RLV,shapley_vs_lime,local,150,0.8533333333333334
5,Healthcare,shapley,pool,150,0.2333333333333333
5,Healthcare,shapley,local,150,0.88
5,Healthcare,lime,local,150,0.88
5,Healthcare,lime,pool,150,0.3066666666666666
5,Healthcare,shapley_vs_lime,pool,150,0.4066666666666667
5,Healthcare,shapley_vs_lime,local,150,0.8533333333333334
6,RLV,shapley,pool,150,0.2866666666666667
6,RLV,shapley,local,150,0.84
6,RLV,lime,local,150,0.8533333333333334
6,RLV,lime,pool,150,0.2733333333333333
6,RLV,shapley_vs_lime,pool,150,0.68
