k,domain,width_x_halfwidth,shapley_local_vs_cf,lime_local_vs_cf,shapley_vs_lime
0,RLV,0.25,0.86,0.82,0.8666666666666667
0,RLV,0.5,0.8466666666666667,0.8533333333333334,0.8466666666666667
0,RLV,1.0,0.6466666666666666,0.82,0.66
0,RLV,2.0,0.3533333333333333,0.7066666666666667,0.3066666666666666
0,RLV,4.0,0.2466666666666666,0.2866666666666667,0.2466666666666666
0,Healthcare,0.25,0.88,0.9,0.8466666666666667
0,Healthcare,0.5,0.8533333333333334,0.9,0.8866666666666667
0,Healthcare,1.0,0.7466666666666667,0.8266666666666667,0.7066666666666667
0,Healthcare,2.0,0.3,0.66,0.3533333333333333
0,Healthcare,4.0,0.2733333333333333,0.3266666666666666,0.2466666666666666
1,RLV,0.25,0.8133333333333334,0.84,0.7933333333333333
1,RLV,0.5,0.8,0.8533333333333334,0.86
1,RLV,1.0,0.7533333333333333,0.7866666666666666,0.7266666666666667
1,RLV,2.0,0.3666666666666666,0.6133333333333333,0.3333333333333333
1,RLV,4.0,0.2533333333333333,0.24,0.3
1,Healthcare,0.25,0.8866666666666667,0.8933333333333333,0.88
1,Healthcare,0.5,0.8866666666666667,0.92,0.9
1,Healthcare,1.0,0.8133333333333334,0.8733333333333333,0.7933333333333333
1,Healthcare,2.0,0.42,0.62,0.34
1,Healthcare,4.0,0.2466666666666666,0.2733333333333333,0.2333333333333333
2,RLV,0.25,0.8533333333333334,0.8533333333333334,0.8866666666666667
2,RLV,0.5,0.88,0.9,0.88
2,RLV,1.0,0.7333333333333333,0.8133333333333334,0.6866666666666666
2,RLV,2.0,0.3733333333333333,0.6666666666666666,0.3466666666666667
2,RLV,4.0,0.2333333333333333,0.3466666666666667,0.2466666666666666
2,Healthcare,0.25,0.8333333333333334,0.88,0.86
2,Healthcare,0.5,0.8733333333333333,0.8866666666666667,0.8866666666666667
2,Healthcare,1.0,0.76,0.84,0.7333333333333333
2,Healthcare,2.0,0.36,0.62,0.4066666666666667
2,Healthcare,4.0,0.2266666666666666,0.34,0.24
3,RLV,0.25,0.8133333333333334,0.8133333333333334,0.8533333333333334
3,RLV,0.5,0.8333333333333334,0.8733333333333333,0.86
3,RLV,1.0,0.6533333333333333,0.7866666666666666,0.62
3,RLV,2.0,0.2933333333333333,0.56,0.32
3,RLV,4.0,0.2333333333333333,0.2933333333333333,0.2333333333333333
3,Healthcare,0.25,0.84,0.8466666666666667,0.9
3,Healthcare,0.5,0.88,0.9,0.8733333333333333
3,Healthcare,1.0,0.6933333333333334,0.8533333333333334,0.7333333333333333
3,Healthcare,2.0,0.2733333333333333,0.6266666666666667,0.2933333333333333
3,Healthcare,4.0,0.2466666666666666,0.3133333333333333,0.2666666666666666
4,RLV,0.25,0.86,0.8733333333333333,0.8666666666666667
4,RLV,0.5,0.82,0.84,0.84
4,RLV,1.0,0.5933333333333334,0.8133333333333334,0.6
4,RLV,2.0,0.4333333333333333,0.62,0.3733333333333333
4,RLV,4.0,0.2533333333333333,0.3,0.2666666666666666
4,Healthcare,0.25,0.86,0.8666666666666667,0.8866666666666667
4,Healthcare,0.5,0.8933333333333333,0.86,0.8466666666666667
4,Healthcare,1.0,0.68,0.8066666666666666,0.6666666666666666
4,Healthcare,2.0,0.3066666666666666,0.6266666666666667,0.3133333333333333
4,Healthcare,4.0,0.2666666666666666,0.3666666666666666,0.3066666666666666
5,RLV,0.25,0.86,0.8866666666666667,0.8733333333333333
5,RLV,0.5,0.8733333333333333,0.88,0.9
5,RLV,1.0,0.6933333333333334,0.8066666666666666,0.7066666666666667
5,RLV,2.0,0.34,0.6133333333333333,0.3533333333333333
5,RLV,4.0,0.1933333333333333,0.2733333333333333,0.2066666666666666
5,Healthcare,0.25,0.9066666666666666,0.9,0.9266666666666666
