domain,arm,kind,CL_lev,CL_lev_sd,CL_bal,CL_bal_sd,dCL_lev,dCL_bal
Healthcare,candidate order,discriminant,0.7536195972272723,0.0,0.8693143297449974,0.0,0.0,0.0
Healthcare,enforced admissibility,inflation,0.7623550548125764,0.0,0.8844214215975112,0.0,0.00873545758530403,0.015107091852513799
Healthcare,instability,convergent,0.7536195972272723,0.0,0.8693143297449974,0.0,0.0,0.0
Healthcare,misalignment,convergent,0.4153303123934694,0.02262174114412751,0.35731224377272197,0.024786461123681255,-0.33828928483380294,-0.5120020859722755
Healthcare,quality scale,discriminant,0.7536195972272723,0.0,0.8693143297449974,0.0,0.0,0.0
Healthcare,releasability,convergent,0.6522241321931954,0.0,0.7042119871135983,0.0,-0.10139546503407693,-0.1651023426313991
RLV,candidate order,discriminant,0.7149889986656441,7.850462293418876e-17,0.8340838775541959,1.1102230246251565e-16,0.0,-1.1102230246251565e-16
RLV,enforced admissibility,inflation,0.7256473329698145,0.0,0.8532329894501849,0.0,0.010658334304170403,0.01914911189598889
RLV,instability,convergent,0.7149889986656441,0.0,0.8340838775541959,0.0,0.0,-1.1102230246251565e-16
RLV,misalignment,convergent,0.4057375947631666,0.015139266268933634,0.3553456281649024,0.02411136831957694,-0.3092514039024775,-0.4787382493892936
RLV,quality scale,discriminant,0.7149889986656441,0.0,0.8340838775541959,0.0,0.0,-1.1102230246251565e-16
RLV,releasability,convergent,0.5962536004463861,0.0,0.6309002047443051,0.0,-0.11873539821925805,-0.20318367280989091
