k,domain,eval_seed,tightening,n_gen1,revoke_rate,regeneration_success_rate,random_redraw_success_rate,SR_discard,GC_discard,SR_regenerate,n_revoked,n_regen_ok,n_redraw_ok,Rel_baseline,Rel_discard,Rel_regenerate
0,RLV,42,0.05,198,0.3383838383838384,0.8656716417910447,0.04477611940298507,0.6616161616161617,0.6616161616161615,0.9545454545454546,67,58,3,0.8996844050636875,0.7318014156364209,0.8892816810299313
0,Healthcare,43,0.05,197,0.3197969543147208,0.8412698412698413,0.015873015873015872,0.6802030456852792,0.6802030456852792,0.949238578680203,63,53,1,0.9073967055596086,0.7483701976532213,0.8956555951017323
1,RLV,1042,0.05,199,0.2663316582914573,0.9811320754716981,0.05660377358490566,0.7336683417085427,0.7336683417085428,0.9949748743718593,53,52,3,0.908264139590295,0.7779685797378043,0.9071209477220399
1,Healthcare,1043,0.05,195,0.3128205128205128,0.8688524590163934,0.04918032786885246,0.6871794871794872,0.6871794871794872,0.958974358974359,61,53,3,0.8885675354565101,0.7365895197532475,0.8793103613251545
2,RLV,2042,0.05,198,0.2474747474747475,0.8979591836734694,0.0,0.7525252525252525,0.7525252525252525,0.9747474747474747,49,44,0,0.88449675963324,0.7672851364179728,0.8788591444692281
2,Healthcare,2043,0.05,193,0.2538860103626943,0.8571428571428571,0.04081632653061224,0.7461139896373057,0.7461139896373057,0.9637305699481865,49,42,2,0.9013564837193981,0.7785727128248184,0.8930699899123589
3,RLV,3042,0.05,195,0.3128205128205128,0.7704918032786885,0.04918032786885246,0.6871794871794872,0.6871794871794872,0.9282051282051282,61,47,3,0.8756423013003267,0.7258749801826452,0.8594838579249836
3,Healthcare,3043,0.05,197,0.2233502538071066,0.9318181818181818,0.022727272727272728,0.7766497461928934,0.7766497461928934,0.9847715736040609,44,41,1,0.9090633639957639,0.8011369413513697,0.90558252140633
4,RLV,4042,0.05,194,0.26288659793814434,0.9019607843137255,0.058823529411764705,0.7371134020618557,0.7371134020618557,0.9742268041237113,51,46,3,0.8923630449138911,0.7661410463454984,0.8865568613013535
4,Healthcare,4043,0.05,194,0.27835051546391754,0.9444444444444444,0.07407407407407407,0.7216494845360825,0.7216494845360825,0.9845360824742269,54,51,4,0.8882921638093655,0.7546037929466505,0.8848379486963893
5,RLV,5042,0.05,199,0.3316582914572864,0.9090909090909091,0.015151515151515152,0.6683417085427136,0.6683417085427136,0.9698492462311558,66,60,1,0.8873633499967021,0.7254387827775959,0.880597697571662
5,Healthcare,5043,0.05,198,0.2474747474747475,0.8163265306122449,0.02040816326530612,0.7525252525252525,0.7525252525252525,0.9545454545454546,49,40,1,0.9162557922378254,0.7948355297903764,0.9056614592724718
6,RLV,6042,0.05,195,0.35384615384615387,0.8405797101449275,0.028985507246376812,0.6461538461538462,0.6461538461538461,0.9435897435897436,69,58,2,0.8926175753589154,0.7175189914963326,0.8797539726376853
6,Healthcare,6043,0.05,193,0.32124352331606215,0.8709677419354839,0.04838709677419355,0.6787564766839378,0.6787564766839378,0.9585492227979274,62,54,3,0.890618045349317,0.7337506242026836,0.8812418128843258
7,RLV,7042,0.05,197,0.29949238578680204,0.8813559322033898,0.06779661016949153,0.700507614213198,0.700507614213198,0.9644670050761421,59,52,4,0.8892345355833756,0.7442566972286722,0.8812277504832099
7,Healthcare,7043,0.05,197,0.30456852791878175,0.8333333333333334,0.05,0.6954314720812182,0.6954314720812182,0.949238578680203,60,50,3,0.8879968131305537,0.7405230439824948,0.8765067243906148
8,RLV,8042,0.05,197,0.350253807106599,0.855072463768116,0.10144927536231885,0.649746192893401,0.649746192893401,0.949238578680203,69,59,7,0.9058148660504345,0.7301486989899032,0.894094223544767
8,Healthcare,8043,0.05,196,0.34183673469387754,0.8208955223880597,0.08955223880597014,0.6581632653061225,0.6581632653061225,0.9387755102040817,67,55,6,0.8881604099444318,0.7205402234918322,0.8742423653469575
9,RLV,9042,0.05,197,0.2639593908629442,0.8846153846153846,0.057692307692307696,0.7360406091370558,0.7360406091370558,0.9695431472081218,52,46,3,0.9126370996626579,0.7829770045883835,0.905607279019919
9,Healthcare,9043,0.05,193,0.29015544041450775,0.9107142857142857,0.07142857142857142,0.7098445595854922,0.7098445595854923,0.9740932642487047,56,51,4,0.8916570083270016,0.7512413016516983,0.8858250603563762
10,RLV,10042,0.05,198,0.2727272727272727,0.8703703703703703,0.018518518518518517,0.7272727272727273,0.7272727272727273,0.9646464646464646,54,47,1,0.901146799865434,0.7685005730915058,0.8930742941951462
10,Healthcare,10043,0.05,194,0.31958762886597936,0.8709677419354839,0.04838709677419355,0.6804123711340206,0.6804123711340206,0.9587628865979382,62,54,3,0.9114894128112089,0.7518612964182426,0.9019437057029702
11,RLV,11042,0.05,199,0.32160804020100503,0.875,0.0,0.678391959798995,0.6783919597989949,0.9597989949748744,64,56,0,0.8948125836297415,0.7370083850800692,0.8856806481944418
11,Healthcare,11043,0.05,197,0.3147208121827411,0.8870967741935484,0.06451612903225806,0.6852791878172588,0.6852791878172588,0.9644670050761421,62,55,4,0.9011435951116403,0.7459810090206968,0.8930295792679842
12,RLV,12042,0.05,196,0.28061224489795916,0.7818181818181819,0.05454545454545454,0.7193877551020408,0.7193877551020409,0.9387755102040817,55,43,3,0.8987158228084046,0.7622613656471964,0.8846323681055703
12,Healthcare,12043,0.05,197,0.27411167512690354,0.8888888888888888,0.037037037037037035,0.7258883248730964,0.7258883248730965,0.9695431472081218,54,48,2,0.9044143845688603,0.7705527358834287,0.8974479014918714
13,RLV,13042,0.05,198,0.30303030303030304,0.85,0.05,0.696969696969697,0.696969696969697,0.9545454545454546,60,51,3,0.895224874869808,0.7473758995285227,0.884873714764098
