k,seed_rlv,seed_hc,n_rows,RLV_Ag_stage0,RLV_Ag_stage1,RLV_Ag_stage2,RLV_SR_mean,RLV_SR_zero_events,Healthcare_Ag_stage0,Healthcare_Ag_stage1,Healthcare_Ag_stage2,Healthcare_SR_mean,Healthcare_SR_zero_events
0,42,43,5442,0.754,0.6084,0.8684,0.8701,2,0.7475,0.602,0.8512,0.8493,3
1,1042,1043,5454,0.814,0.6689,0.8981,0.9018,1,0.7126,0.5464,0.8273,0.8193,5
2,2042,2043,5394,0.7352,0.6034,0.8559,0.8529,2,0.7453,0.5803,0.8095,0.8022,7
3,3042,3043,5523,0.6947,0.5474,0.8255,0.8211,5,0.7446,0.6126,0.8571,0.865,3
4,4042,4043,5373,0.7215,0.585,0.8255,0.8287,6,0.6923,0.5329,0.7681,0.7721,6
5,5042,5043,5379,0.7601,0.5957,0.8435,0.8387,1,0.7823,0.6387,0.8608,0.8604,2
6,6042,6043,5502,0.7433,0.5901,0.8371,0.8384,5,0.6781,0.5447,0.8214,0.824,7
7,7042,7043,5283,0.6735,0.5261,0.8401,0.8413,3,0.6883,0.5722,0.8214,0.822,3
8,8042,8043,5508,0.7141,0.553,0.8554,0.8522,3,0.6828,0.5441,0.7968,0.8007,4
9,9042,9043,5445,0.7333,0.6015,0.8551,0.8621,3,0.7179,0.521,0.7865,0.7818,7
10,10042,10043,5397,0.6815,0.5017,0.8479,0.8494,2,0.6993,0.529,0.7984,0.7996,6
11,11042,11043,5445,0.7494,0.5735,0.8619,0.8582,1,0.7165,0.5649,0.8321,0.8324,3
12,12042,12043,5361,0.8043,0.6301,0.8654,0.8615,4,0.7231,0.5814,0.8162,0.8139,3
13,13042,13043,5382,0.7809,0.6096,0.8643,0.8668,2,0.8067,0.6268,0.8682,0.8683,4
14,14042,14043,5265,0.7925,0.662,0.8963,0.8968,1,0.7324,0.5786,0.8239,0.8293,6
15,15042,15043,5322,0.7631,0.5729,0.8417,0.8399,4,0.6786,0.5379,0.8192,0.8185,5
16,16042,16043,5478,0.7674,0.5641,0.8522,0.847,4,0.6656,0.532,0.8102,0.8031,4
17,17042,17043,5349,0.7411,0.5853,0.8843,0.8876,1,0.7286,0.5846,0.8187,0.814,4
18,18042,18043,5418,0.6864,0.568,0.8377,0.8386,2,0.7013,0.5481,0.7886,0.7939,2
19,19042,19043,5370,0.7317,0.5696,0.8401,0.8422,1,0.7446,0.569,0.8153,0.8087,7
20,20042,20043,5397,0.8035,0.6493,0.8947,0.8971,0,0.6959,0.549,0.8087,0.8081,5
21,21042,21043,5373,0.7793,0.6444,0.8841,0.8793,1,0.7438,0.6119,0.8378,0.8337,4
22,22042,22043,5385,0.796,0.6377,0.8751,0.8681,2,0.7171,0.5702,0.8497,0.8543,2
23,23042,23043,5436,0.761,0.6136,0.8611,0.8636,4,0.7225,0.5606,0.7894,0.7825,10
24,24042,24043,5388,0.7666,0.6195,0.8639,0.8628,4,0.7265,0.537,0.8139,0.8154,4
25,25042,25043,5361,0.7267,0.5729,0.8428,0.8487,3,0.6557,0.4906,0.8064,0.8081,6
26,26042,26043,5457,0.6907,0.5654,0.8315,0.8337,2,0.7448,0.5856,0.8517,0.8535,4
27,27042,27043,5469,0.7798,0.6187,0.8733,0.8716,3,0.7209,0.5673,0.8206,0.8138,5
28,28042,28043,5325,0.7798,0.6218,0.8743,0.8738,2,0.6929,0.5411,0.8174,0.8078,9
29,29042,29043,5385,0.7709,0.6129,0.842,0.8365,4,0.7489,0.5893,0.8393,0.8382,5
30,30042,30043,5448,0.8185,0.6535,0.8823,0.8769,2,0.7442,0.5854,0.8302,0.8297,4
31,31042,31043,5478,0.7494,0.5942,0.8537,0.859,3,0.7868,0.6136,0.8723,0.8704,2
32,32042,32043,5436,0.8435,0.6269,0.8895,0.8851,4,0.6392,0.5278,0.8051,0.7995,5
33,33042,33043,5319,0.7584,0.5757,0.8563,0.8693,0,0.7211,0.5749,0.832,0.8272,5
34,34042,34043,5331,0.762,0.5968,0.8462,0.844,5,0.6719,0.5439,0.8309,0.8256,4
35,35042,35043,5403,0.7182,0.5436,0.8188,0.8176,3,0.7321,0.5748,0.8058,0.8064,5
36,36042,36043,5415,0.7445,0.5782,0.837,0.8292,5,0.7837,0.602,0.8673,0.8677,0
37,37042,37043,5460,0.7549,0.5681,0.8495,0.8462,3,0.744,0.578,0.833,0.8291,3
38,38042,38043,5403,0.684,0.5277,0.857,0.8583,3,0.7531,0.594,0.8521,0.8501,2
39,39042,39043,5538,0.6626,0.5538,0.8161,0.8207,6,0.7296,0.608,0.8333,0.8316,2
40,40042,40043,5352,0.725,0.5602,0.825,0.8255,6,0.7467,0.5719,0.8285,0.8259,3
41,41042,41043,5250,0.8122,0.6538,0.8697,0.8702,4,0.6682,0.5,0.8062,0.8097,4
42,42042,42043,5457,0.7296,0.5798,0.848,0.8473,5,0.7205,0.5835,0.8185,0.8093,4
43,43042,43043,5460,0.7683,0.5909,0.8404,0.841,5,0.6514,0.5174,0.78,0.7805,10
44,44042,44043,5475,0.7533,0.6079,0.8579,0.8606,4,0.7285,0.5682,0.831,0.8222,5
45,45042,45043,5256,0.8614,0.6999,0.9061,0.9091,0,0.6803,0.5438,0.8191,0.8223,5
46,46042,46043,5433,0.7039,0.5359,0.8232,0.8222,4,0.7119,0.5497,0.8223,0.8203,2
47,47042,47043,5424,0.6886,0.5558,0.8438,0.8383,5,0.7072,0.5811,0.8333,0.831,4
48,48042,48043,5373,0.7855,0.6356,0.8842,0.8863,1,0.7418,0.5758,0.8648,0.8652,4
49,49042,49043,5433,0.6509,0.5065,0.8147,0.8162,4,0.752,0.5946,0.8505,0.8427,6
