arm,domain,n_seeds,A_triad_mean,A_triad_ci_lo,A_triad_ci_hi,TS_mean_mean,TS_mean_ci_lo,TS_mean_ci_hi,SR_mean_mean,SR_mean_ci_lo,SR_mean_ci_hi,Rel_mean_mean,Rel_mean_ci_lo,Rel_mean_ci_hi,genesis_rmsd_vs_ref_mean,genesis_rmsd_vs_ref_ci_lo,genesis_rmsd_vs_ref_ci_hi,Ag_agreement_vs_ref_mean,Ag_agreement_vs_ref_ci_lo,Ag_agreement_vs_ref_ci_hi,dA_triad_mean,dA_triad_ci_lo,dA_triad_ci_hi,dTS_mean_mean,dTS_mean_ci_lo,dTS_mean_ci_hi,dSR_mean_mean,dSR_mean_ci_lo,dSR_mean_ci_hi,dRel_mean_mean,dRel_mean_ci_lo,dRel_mean_ci_hi
attn1,Healthcare,50,0.7157335965255833,0.7100575207965827,0.7213848128327245,0.916390775147612,0.9159621288445213,0.9168264062744768,0.8433133333333335,0.8377448333333335,0.84873175,0.8464172727778583,0.8427656557373636,0.8500737574513728,0.07125849868411872,0.06659627108329894,0.07578005397158905,0.916152708735252,0.9095480047569218,0.9226950559142586,-0.0006159762109673573,-0.005090359334792533,0.004029118332445861,0.0004859405946490325,0.0002094911615888178,0.0007647226815253883,0.020106666666666648,0.0132265833333333,0.0269334583333333,0.010035060184211922,0.0058614492257260745,0.014324453627756622
attn1,RLV,50,0.706509124834562,0.7010479865203975,0.7118167965370922,0.9164428070576979,0.9159486464723134,0.9169240974754749,0.8754566666666667,0.8705366250000001,0.8802783333333332,0.8567408353449456,0.8534410909413217,0.8597866516113161,0.07985636225282292,0.0747519691069597,0.08529472466444099,0.9215843938545973,0.9151799567291562,0.9276550928798923,0.0043985686610715224,-0.001379604945081103,0.01019746105266338,0.0006362125106844619,0.00031860848282518354,0.0009484892828149486,0.020391666666666645,0.015246666666666655,0.02550333333333331,0.010946137071669828,0.007289159093459787,0.014481736720321672
mlp1_r1,Healthcare,50,0.7169792172004356,0.709926857734997,0.7240026760417916,0.9159358262391322,0.9154913101643178,0.9163733272761956,0.8246733333333333,0.8177881666666669,0.8317467916666667,0.8380424142122455,0.8333172181735367,0.8427042389793823,0.022065885324742587,0.020330358819428938,0.023971754546384356,0.9774347453083685,0.9751037443346696,0.979755115684322,0.000629644463884822,-0.0016426151243640365,0.002816691060217552,3.099168616943482e-05,-0.00011107585493136635,0.00016860658840155276,0.0014666666666666428,-0.0013916666666666758,0.004063374999999987,0.001660201618599073,-0.0003194771294500092,0.0035660213977328167
mlp1_r1,RLV,50,0.7024779907236351,0.6961607137811746,0.7087793941524132,0.9157948130458433,0.9152132968365683,0.9163357148677913,0.8544949999999999,0.8479281249999998,0.8610967500000001,0.8461147027016254,0.8417280050745196,0.850467552859163,0.021852308770544365,0.020115506340379126,0.023621271444668055,0.9809806094954726,0.9784055530087866,0.9833885450195512,0.0003674345501445697,-0.001685461226833677,0.0025892403939371676,-1.1781501170007314e-05,-0.00010931691287046269,9.156466493231859e-05,-0.0005700000000000194,-0.0028833333333333445,0.0017550416666666589,0.000320004428349574,-0.0013833464003696777,0.0022031271289953236
mlp1_r4,Healthcare,50,0.7166334910342546,0.7094638196462825,0.7236307651225845,0.9158413479950631,0.9153934812964984,0.9162764226049226,0.8216099999999998,0.8145416249999999,0.8284535833333333,0.8355988722400178,0.8306293008803998,0.8402571552794859,0.033100285967572286,0.03059478854944263,0.03570584783754203,0.9642237810294576,0.9610558053426682,0.967331507506507,0.0002839182977039001,-0.0025057383118304434,0.002995623128250163,-6.348655789971903e-05,-0.00025225258255700037,0.00012045527158901523,-0.001596666666666684,-0.005300000000000016,0.002096666666666649,-0.0007833403536285078,-0.0032940944909217724,0.0017402505612301587
mlp1_r4,RLV,50,0.7017326087003828,0.6945507490437014,0.7088873932953689,0.9157316467463561,0.9151590172966639,0.9162941042445388,0.852565,0.8454716666666667,0.8598433750000002,0.8447791480786344,0.8398111507117049,0.8496811347706492,0.03307454022275065,0.03059288096929162,0.03554311381746523,0.9688253920889484,0.9655903815992863,0.9719837688237652,-0.00037794747310767376,-0.003939113676668598,0.0029917531250307134,-7.494780065740336e-05,-0.00025100451550463186,0.00010021361015777376,-0.002500000000000018,-0.006038458333333341,0.001181749999999988,-0.0010155501946413038,-0.0037085411084251925,0.001589735868049684
mlp1_relu,Healthcare,50,0.7171800225840612,0.7110535719755293,0.7232840704666766,0.9161344006005008,0.9157269977606772,0.9165451492813556,0.8331116666666668,0.8271950000000001,0.8391267916666667,0.8414986844407809,0.8377129120628712,0.8453717579466908,0.04242398105235025,0.037394639186131194,0.047425033583833896,0.9646495265031492,0.9589087238000492,0.9704083432949182,0.0008304498475103417,-0.0021728109516095844,0.003957871966330227,0.00022956604753783473,8.113091244028957e-05,0.00038272184925289087,0.009905000000000008,0.006310000000000009,0.013458416666666648,0.005116471847134456,0.0028846458396741778,0.007341128724355815
mlp1_relu,RLV,50,0.7069598823727002,0.7012805935116628,0.7124884431349097,0.9161974859036591,0.9156746675529062,0.9166916340251569,0.8681383333333333,0.8627897083333332,0.8736501249999999,0.8538363929844109,0.8500442016977564,0.8574372967408923,0.0489876630353747,0.04332445197486007,0.05431928720493723,0.9640599337971755,0.9577677772328309,0.9701637043298773,0.004849326199209633,0.0020446041990536744,0.007851910733880824,0.00039089135664573284,0.00022040750818900517,0.0005707064463060993,0.013073333333333308,0.00954320833333331,0.016853583333333318,0.008041694711135224,0.005790908432972483,0.010484887952587885
mlp1_s009,Healthcare,50,0.7168829044108571,0.7110203008854893,0.7227522038612789,0.9163795824018134,0.915951342126378,0.916797794939386,0.8417883333333332,0.8364415833333333,0.8470066666666667,0.8460138124969382,0.8423553696766869,0.8495558253837534,0.033760015099297117,0.03184010044392377,0.03573323828882059,0.9586828766275047,0.9553563766636043,0.9619745848844166,0.0005333316743062877,-0.0016759508271154695,0.002787899801126567,0.00047474784885037424,0.00034612734649961947,0.0006021686944908928,0.018581666666666673,0.015291541666666677,0.021930125,0.009631599903291764,0.007618772178725272,0.011677273536395732
mlp1_s009,RLV,50,0.7058450874583153,0.7008337388526267,0.711141556522832,0.9163929883152251,0.915896593389233,0.9168906196225202,0.873925,0.86901325,0.8789951250000001,0.855485497146675,0.8519344463332085,0.8589490997717301,0.03726676268754813,0.035790439704095796,0.03873605502858238,0.9602466416612151,0.9574921854340794,0.9629940831444562,0.0037345312848246557,0.0013483149399225707,0.00613708975356387,0.0005863937682116993,0.00044703676397505585,0.0007235478335053569,0.01885999999999999,0.016141666666666662,0.021651708333333335,0.00969079887339925,0.007755229170175954,0.011645500410149926
