k,domain,eval_seed,A_triad,CKA_genesis_repair,CKA_genesis_context,CKA_repair_context,TS_mean,SR_mean,SR_zero_events,Rel_mean,Rel_event_sd,baseline_balanced_accuracy,baseline_f1
0,RLV,42,0.7144166899678185,0.8736148949641124,0.6275289360354611,0.6421062389038821,0.9170841307457028,0.8700833333333334,2,0.8569376806519193,0.10518894020439848,0.5925843198570471,0.7518072289156627
0,Healthcare,43,0.7392001369700875,0.8941234698878537,0.6507834934469154,0.6726934475754929,0.9171212450434396,0.8492500000000001,3,0.8555127216120547,0.12178499254853505,0.6003303964757709,0.6830601092896175
1,RLV,1042,0.7412435799579796,0.8914528470934514,0.6619914623039893,0.6702864304764979,0.918095218027186,0.9018333333333334,1,0.8783331471887701,0.07916314050870928,0.5353468547912992,0.6735751295336787
1,Healthcare,1043,0.6806859854912863,0.8781662660431829,0.5621787028624112,0.6017129875682651,0.9158301956560778,0.8192500000000001,5,0.8235076099970752,0.14417713647734914,0.5714352370287421,0.743142144638404
2,RLV,2042,0.6677176342494701,0.8588726041003895,0.564459395280794,0.579820903367227,0.916625930408407,0.8529166666666668,2,0.8367756902501651,0.10712844316215793,0.5900780379041248,0.6739130434782609
2,Healthcare,2043,0.7224003054728878,0.8871919827563619,0.6318840770392561,0.6481248566230454,0.913710103868692,0.8021666666666667,7,0.8236717938304285,0.16885298766877774,0.6121794871794872,0.7525773195876289
3,RLV,3042,0.6458265995879854,0.8397992300902437,0.5220263490244343,0.5756542196492781,0.9103135483260726,0.8210833333333334,5,0.811424216079084,0.14363610425165277,0.5833333333333333,0.7524752475247525
3,Healthcare,3043,0.7435859585140662,0.8979932037224075,0.653470357182385,0.679294314637406,0.9184286916086054,0.865,3,0.8616717590101461,0.12137568842242162,0.5527310924369748,0.75
4,RLV,4042,0.6932204227206004,0.8626178793556503,0.5990400599444363,0.6180033288617144,0.9147342869479018,0.82875,6,0.8270568301563159,0.15485774849372286,0.5519934828445467,0.6846361185983828
4,Healthcare,4043,0.6803699327278911,0.8561242984147678,0.5717169127436044,0.6132685870253014,0.9151203455193602,0.7720833333333335,6,0.8060274511362066,0.15688156282761268,0.541407867494824,0.6666666666666666
5,RLV,5042,0.6764989966454119,0.8567877002929081,0.5823502832744495,0.5903590063688782,0.9165133452000631,0.8386666666666668,1,0.8398620159782243,0.08690679447131894,0.6168253968253968,0.7602040816326531
5,Healthcare,5043,0.7678999441755714,0.8931878440075123,0.6880010427692358,0.7225109457499662,0.9178301005459173,0.8604166666666667,2,0.8713703981497877,0.10300686563472049,0.5583670715249662,0.6892950391644909
6,RLV,6042,0.6921981286635086,0.8664947203934644,0.6030943650151069,0.6070053005819546,0.9171308747201491,0.8384166666666667,5,0.8313873072031052,0.147819691234303,0.4491452991452991,0.6512820512820513
6,Healthcare,6043,0.6870027809343874,0.8544375232975391,0.57639821736188,0.630172602143743,0.9158143968947599,0.8240000000000001,7,0.8205493141463094,0.1653502033934577,0.5181760204081632,0.5621301775147929
7,RLV,7042,0.6830975712575551,0.8706196469225347,0.5776252299494635,0.6010478369006671,0.9153402159425167,0.8413333333333334,3,0.8363334801991662,0.1185600587241847,0.4990390775144138,0.679144385026738
7,Healthcare,7043,0.6783008945044697,0.8608888953738382,0.5634343892542933,0.6105793988852777,0.916691572859055,0.8220000000000001,3,0.8292126962682687,0.12083391694129507,0.5419158741053044,0.6972972972972973
8,RLV,8042,0.7372452840977987,0.8814405167598905,0.6606699361911218,0.6696253993423834,0.9131576728236407,0.8521666666666667,3,0.8550695450386524,0.12043083061850621,0.5738417519533399,0.6860158311345647
8,Healthcare,8043,0.6794390847378887,0.8649232138286465,0.559039853483206,0.614354186901814,0.9158305272876064,0.8006666666666666,4,0.8205299451235425,0.1341242483114208,0.527619724988146,0.689119170984456
9,RLV,9042,0.7571886741747108,0.8935673340196923,0.691678394789318,0.6863202937151218,0.9161959507475704,0.8620833333333334,3,0.8644110418806844,0.12095646503386366,0.6561965811965812,0.7692307692307693
9,Healthcare,9043,0.6932290002783766,0.8622611775118054,0.5928296203006794,0.6245962030226455,0.9118314915648582,0.7818333333333333,7,0.8092498258384299,0.1662699585259398,0.5278762487914921,0.6914893617021277
10,RLV,10042,0.7186093858929795,0.8857842146915138,0.6261801494625493,0.6438637935248753,0.9176758311444894,0.8494166666666668,2,0.8516706667731132,0.1089467428441632,0.5696182396606575,0.6981627296587927
10,Healthcare,10043,0.7546838157166785,0.8853649467038639,0.6898472959772503,0.6888392044689216,0.9146216507621303,0.7995833333333333,6,0.8360408615971019,0.15895177519885131,0.6018518518518519,0.7253333333333334
11,RLV,11042,0.700410744677192,0.865408680703824,0.6040749160328596,0.6317486372948922,0.9153254373669494,0.8581666666666666,1,0.852155916087565,0.0865169794392176,0.557185941306113,0.7161125319693095
11,Healthcare,11043,0.7200685988201235,0.8726948751546598,0.6321531213422633,0.6553577999634475,0.9158031412111199,0.8324166666666667,3,0.8451039350018681,0.12018496125321944,0.5065217391304349,0.6361185983827493
12,RLV,12042,0.7122402539293774,0.86607773467773,0.6184430333626373,0.652199993747765,0.9159315873665272,0.8615,4,0.8482012798023678,0.13209198997956406,0.48176328502415455,0.6243093922651933
12,Healthcare,12043,0.7311697996477284,0.8771742126294417,0.654317616093077,0.6620175702206667,0.9150642731546335,0.8139166666666665,3,0.8423781595003651,0.12374993317022324,0.5101809954751131,0.6371191135734072
13,RLV,13042,0.7026827784399702,0.8677288687641189,0.6148445646375904,0.6254749019182014,0.9140485297475371,0.86675,2,0.8533584761154485,0.0990336945740477,0.508061709778448,0.6974358974358974
13,Healthcare,13043,0.7529181807388472,0.897112438173221,0.6781770468740529,0.6834650571692679,0.9188134408414962,0.8682500000000001,4,0.863637271623177,0.1316804019625619,0.6321123321123321,0.6684931506849315
14,RLV,14042,0.7184030990580882,0.8860476696449988,0.6240763048027684,0.6450853227264973,0.9187202669587206,0.8967500000000002,1,0.8698612183268222,0.08029854384837527,0.6245791245791246,0.6904109589041096
14,Healthcare,14043,0.6808759967282648,0.8737817121312542,0.5775478244293533,0.5912984536241871,0.9153792777160706,0.8293333333333334,6,0.8230256609528124,0.15535927573619876,0.6188063063063063,0.723404255319149
15,RLV,15042,0.6705401865107454,0.8497394325265325,0.5666433797207614,0.5952377472849422,0.9130090540936507,0.8399166666666668,4,0.8268760356215213,0.13568690783626194,0.592985842985843,0.7557840616966581
