domain,delta,n_seeds,Rel_exact_mean,Rel_exact_ci_lo,Rel_exact_ci_hi,Rel_floor_mean,Rel_floor_ci_lo,Rel_floor_ci_hi,dev_mean,dev_ci_lo,dev_ci_hi,frac_sr0_mean,frac_sr0_ci_lo,frac_sr0_ci_hi,SR_mean_mean,SR_mean_ci_lo,SR_mean_ci_hi
RLV,0.33,50,0.8452305191572936,0.8407069931491228,0.8497891993517861,0.8456545142810213,0.8412685327740653,0.8502225958588422,0.00042399512372774087,0.00035993794910611624,0.0004888411144575585,0.015,0.0128,0.017200000000000003,0.8550650000000002,0.8490097499999999,0.8616434166666667
RLV,0.3,50,0.8149813888123886,0.8095425701894661,0.8204288858279982,0.8158095293530385,0.8102912247400065,0.8212570696563707,0.000828140540650007,0.0007293012982484831,0.0009313846119061337,0.029299999999999996,0.025699999999999997,0.0331,0.7829516666666666,0.7751615833333333,0.7908234583333335
RLV,0.27,50,0.7707250293776599,0.7641592358521796,0.7774480555009794,0.7722601943546961,0.7659048467417664,0.778884804257347,0.001535164977036268,0.001396331211464724,0.0016734064031757444,0.05430000000000001,0.0495,0.0591,0.688805,0.6797132916666667,0.6981617499999999
RLV,0.24,50,0.7034486124025118,0.6950469528157801,0.7117285251942667,0.7064324091504726,0.6982276212096626,0.7146583148619919,0.0029837967479606152,0.0027744687385982112,0.003193313089456425,0.10549999999999998,0.09820000000000001,0.1131,0.5738333333333334,0.5635764999999999,0.5845420416666666
RLV,0.21,50,0.6119235251403807,0.6014810309639459,0.6226820912300667,0.617191122662167,0.6071555569068483,0.6275342157655922,0.005267597521786329,0.004958725919219989,0.005563615558618233,0.18619999999999998,0.17520000000000002,0.19720250000000003,0.4420600000000001,0.43164487499999993,0.4527117916666667
RLV,0.18,50,0.49162456835913004,0.4807349588452881,0.5031134723257977,0.5004339262710963,0.48989859432226635,0.5115275229437473,0.008809357911966322,0.008413146696666315,0.009183820835839386,0.3113,0.2973,0.32480000000000003,0.3059266666666666,0.29774449999999997,0.31451179166666665
RLV,0.15,50,0.3460998425882826,0.33671473834711857,0.3557392728598637,0.35999882914934156,0.3507865213270519,0.369226269597806,0.01389898656105902,0.013524060855226276,0.014251131045750058,0.491,0.47790000000000005,0.5036,0.184765,0.17882825,0.19095504166666669
RLV,0.12,50,0.19532853927905247,0.18826556978853107,0.20235034348441358,0.21509124508541988,0.20820791433625488,0.22182184366345709,0.01976270580636742,0.019476150996294093,0.02005187741220702,0.6981000000000002,0.6877000000000001,0.7087025,0.08789666666666668,0.08449329166666665,0.09123174999999999
RLV,0.1,50,0.11390470091943992,0.10961778050539443,0.11821330624391803,0.13711715938605545,0.1329972936268396,0.14123473489396074,0.023212458466615526,0.02304936341727163,0.02337539106603329,0.8199000000000001,0.8135000000000001,0.8262999999999999,0.04710333333333334,0.04504666666666666,0.04921670833333333
RLV,0.08,50,0.0547660583869193,0.0520495261141106,0.0575346158853085,0.08057945138695784,0.07789974949807343,0.08323443805585436,0.02581339300003854,0.02568653211280528,0.02593662004054882,0.9117000000000001,0.9073,0.9162,0.021083333333333332,0.01993658333333333,0.022273333333333332
RLV,0.06,50,0.018113775722851062,0.016246503830761268,0.02007030498224957,0.04559239516072314,0.04374835247295086,0.047463542761381004,0.027478619437872078,0.027379342394593307,0.02757985831845125,0.9704999999999999,0.9674,0.9736999999999999,0.006683333333333334,0.005959958333333332,0.007395
Healthcare,0.33,50,0.8521073435300981,0.8477351194427898,0.8564340780863516,0.8525192840277285,0.8483367620780088,0.8567773054636931,0.0004119404976305146,0.0003350905589425346,0.0004892894649988629,0.014500000000000002,0.011899999999999999,0.0173,0.8626150000000001,0.8566365833333333,0.8687085416666668
Healthcare,0.3,50,0.826139934262035,0.821674583722953,0.8305765082065195,0.8269079958840906,0.8224570464209916,0.831271077764213,0.0007680616220556491,0.0006899939513173866,0.0008514917067413034,0.027000000000000003,0.024200000000000003,0.029900000000000003,0.8013483333333333,0.7946782916666666,0.8081950416666666
Healthcare,0.27,50,0.7851127574518841,0.7797196634377296,0.7905532500470823,0.7864977673174758,0.7811082052423296,0.7919113387684844,0.0013850098655915977,0.001269449506613405,0.0014993874875358485,0.0487,0.0447,0.0528,0.711625,0.7039813333333333,0.7194202083333335
Healthcare,0.24,50,0.7206725610792573,0.713350960633525,0.7278564161264774,0.723323086799757,0.7165635987847948,0.7305148515937465,0.002650525720499385,0.0024476004809500947,0.0028538211704017768,0.0932,0.08590000000000002,0.10019999999999998,0.593725,0.585833125,0.6018936666666668
Healthcare,0.21,50,0.6271200907143354,0.6195735886135357,0.6346419888691215,0.6319846899823187,0.6247554716443598,0.6392755911969447,0.0048645992679832726,0.004618991710350695,0.005101063092186273,0.171,0.1623,0.17939999999999998,0.45208333333333334,0.4451330833333333,0.4589084583333333
Healthcare,0.18,50,0.49816943660277957,0.4896066672352443,0.5065090969278698,0.5068423155691463,0.4989523253200362,0.5151944012961172,0.008672878966366744,0.008389322382995553,0.008961509950229984,0.3049,0.2946,0.3153,0.3066833333333333,0.3004649166666667,0.3129450833333333
Healthcare,0.15,50,0.3467629291662253,0.33905063562710624,0.3544637125359083,0.36068232039027764,0.35324954871436903,0.3682989827669257,0.013919391224052365,0.013613916156753144,0.014221011108282553,0.4892000000000001,0.47869999999999996,0.5004,0.17997999999999997,0.17505662499999997,0.18507183333333332
Healthcare,0.12,50,0.19485473336745474,0.1883624217888063,0.20143321471415107,0.21474393495698485,0.20845312229700672,0.22112270452337632,0.01988920158953009,0.019613680154212436,0.02016640347134248,0.699,0.6894,0.7090000000000001,0.08584166666666668,0.08269662499999998,0.08905333333333333
Healthcare,0.1,50,0.11186913037007372,0.10683312280341704,0.11697512982584907,0.1353053652031825,0.1306509190714126,0.140137904853385,0.0234362348331088,0.02320911386852101,0.023654258444000778,0.8236,0.8156,0.8312999999999999,0.04563666666666667,0.04358499999999999,0.04774175
Healthcare,0.08,50,0.052646638514504636,0.04932459095893547,0.056168009106985835,0.07869585830524468,0.07540244311990858,0.08205388682361262,0.026049219790740045,0.0258865983547125,0.02621118614030022,0.9154000000000001,0.9097000000000002,0.9207025000000001,0.020056666666666664,0.018755,0.02142833333333333
Healthcare,0.06,50,0.017982389556032895,0.016010138594968706,0.02000689307084724,0.04560605737750346,0.04368961443497371,0.047539583587328675,0.027623667821470573,0.027501422940894592,0.02774014403827774,0.9707000000000001,0.9674,0.9739999999999999,0.006528333333333333,0.005830000000000001,0.007243375000000001
