domain,delta,eps,floor_factor_eps_pow_wSR,n_seeds,SR_zero_events_mean,SR_zero_frac_mean,rel_mean,rel_ci_lo,rel_ci_hi,dev_mean,dev_ci_lo,dev_ci_hi,dev_sr0_mean,dev_sr0_ci_lo,dev_sr0_ci_hi
RLV,0.33,0.0,0.0,50,3.0,0.015,0.8452305191572936,0.8407941083485846,0.8497723733500618,0.0,0.0,0.0,0.0,0.0,0.0
RLV,0.33,1e-08,0.01,50,3.0,0.015,0.8453645981880719,0.8409404240880725,0.8499008743395495,0.00013407903077845634,0.00011376138482043737,0.00015444743350352823,0.0089476152628447,0.008926692776723815,0.008968898028920059
RLV,0.33,1e-06,0.03162277660168379,50,3.0,0.015,0.8456545142810213,0.8411561456137314,0.8499747233907871,0.00042399512372774087,0.0003592344723035794,0.0004884750751215972,0.028294843857475407,0.02822676690795164,0.028362833070385975
RLV,0.33,0.0001,0.1,50,3.0,0.015,0.8465713094650782,0.842246662809649,0.8509816592474215,0.0013407903077845634,0.0011363765740427636,0.0015444386774851563,0.089476152628447,0.08926562764915336,0.08968762229581412
RLV,0.33,0.01,0.31622776601683794,50,3.0,0.015,0.849470470394571,0.8453896236325472,0.8535766785596861,0.004239951237277411,0.003599580943784411,0.004881515578483993,0.2829484385747541,0.28227441099324885,0.2836260350168552
Healthcare,0.31,0.0,0.0,50,4.48,0.022400000000000003,0.835542987797759,0.8310374626842829,0.8401463355388771,0.0,0.0,0.0,0.0,0.0,0.0
Healthcare,0.31,1e-08,0.01,50,4.48,0.022400000000000003,0.8357443797460364,0.8313438890971764,0.8402466549817128,0.00020139194827733161,0.00017689989715917402,0.00022658860949310256,0.008998422068348602,0.008975209398114437,0.009020717422729014
Healthcare,0.31,1e-06,0.03162277660168379,50,4.48,0.022400000000000003,0.8361798450567342,0.8317538055759957,0.8406166466740524,0.0006368572589751914,0.000561106948887202,0.0007185224666492716,0.028455509083504922,0.028384113260627487,0.028526897211146103
Healthcare,0.31,0.0001,0.1,50,4.48,0.022400000000000003,0.8375569072805326,0.833209151137791,0.8419334413901709,0.002013919482773316,0.0017689619818280224,0.0022700150348752895,0.08998422068348604,0.08975397505379056,0.09020756839394332
Healthcare,0.31,0.01,0.31622776601683794,50,4.48,0.022400000000000003,0.8419115603875111,0.8378348339912343,0.8459047511381347,0.006368572589751913,0.00560916435064861,0.007184964517008943,0.28455509083504926,0.28383833342500986,0.28526416688578665
