domain,relative_variance_pct,node_noise_std,n_seeds,regime,fleiss_kappa_mean,fleiss_kappa_sd,fleiss_kappa_ci_lo,fleiss_kappa_ci_hi,unanimous_rate_mean,unanimous_rate_sd,unanimous_rate_ci_lo,unanimous_rate_ci_hi,mean_admissible_rate
RLV,0,0.0,50,intermediate,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.7856000000000001
Healthcare,0,0.0,50,intermediate,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.7676
RLV,3,0.0099,50,nominal,0.9106906964331717,0.0421801582323263,0.8992130342628023,0.9221055155414984,0.9474666666666667,0.02596491615138203,0.9404,0.9545333333333335,0.7843333333333333
Healthcare,3,0.0093,50,nominal,0.9204368416666904,0.042495843286857786,0.9084589250279734,0.9319066702246599,0.9472,0.03008197417171997,0.9390666666666667,0.9553366666666667,0.7647666666666666
RLV,5,0.0165,50,nominal,0.8554621093566523,0.056346504452423674,0.8399016919081934,0.8707370861916717,0.9127999999999998,0.037004381673506566,0.9026666666666665,0.9228000000000001,0.7815666666666666
Healthcare,5,0.0155,50,nominal,0.8617959501307904,0.06979294133254516,0.8425129336871569,0.8808976068361652,0.9090666666666667,0.04981161791100109,0.8949333333333334,0.9224,0.7631999999999999
RLV,9,0.0297,50,nominal,0.7453770535337375,0.09337928388806652,0.7197590358254932,0.7702918340874516,0.8417333333333332,0.06739479918299408,0.8232,0.8597366666666667,0.7729666666666667
Healthcare,9,0.027899999999999998,50,nominal,0.7481099056120631,0.12116720598692664,0.7135346467884104,0.7808229415324571,0.8306666666666667,0.08980704940286692,0.8056000000000002,0.8548,0.7549333333333333
RLV,10,0.033,50,intermediate,0.7200320525629756,0.09929871906892204,0.6921162499336533,0.747081378446972,0.8246666666666667,0.07253429871306345,0.8045333333333333,0.8440000000000001,0.7704
Healthcare,10,0.031,50,intermediate,0.7206198735880293,0.13174051293725733,0.6839834606893168,0.755750193807483,0.8098666666666666,0.10198252484690533,0.7813333333333334,0.8369333333333334,0.7517999999999999
RLV,15,0.0495,50,intermediate,0.5936741901595554,0.13354499282812718,0.5567833246018707,0.6297135467757256,0.7348,0.11017438249349587,0.7034666666666667,0.7638666666666668,0.7555333333333332
Healthcare,15,0.0465,50,intermediate,0.5878166120951305,0.18909347265132975,0.5355650415837749,0.638948573437137,0.7074666666666667,0.16694474760481223,0.6592,0.7528,0.7345
RLV,20,0.066,50,stress_test,0.46844076601156176,0.1662108397373936,0.42245165585421124,0.5135126760721684,0.6390666666666667,0.1516770049552652,0.5982666666666667,0.6801366666666666,0.7355333333333333
Healthcare,20,0.062,50,stress_test,0.4654289064628276,0.23581081973979398,0.40000621601155045,0.5308111612220701,0.6069333333333333,0.2225963472001463,0.5453333333333333,0.6669366666666665,0.7148333333333332
RLV,25,0.0825,50,stress_test,0.3617584247318634,0.19100040573716134,0.30947767884019567,0.41340244976150103,0.5522666666666666,0.19231191594873423,0.49933333333333335,0.6039999999999999,0.7145999999999999
Healthcare,25,0.0775,50,stress_test,0.3638373133371124,0.26441689455144396,0.29067658204132407,0.4368993770578936,0.5246666666666666,0.25843502497053156,0.45292666666666676,0.5921366666666666,0.6968333333333332
RLV,30,0.099,50,stress_test,0.2686305661543875,0.21483525144369023,0.20972962781246435,0.3273836830987218,0.47279999999999994,0.22415511312309838,0.41186666666666666,0.5341333333333333,0.6924666666666667
Healthcare,30,0.093,50,stress_test,0.2833126903716532,0.27423345567944246,0.20933012335751516,0.3594286650155284,0.4592000000000001,0.27315454580821386,0.38586666666666664,0.5337366666666666,0.6804666666666667
RLV,40,0.132,50,stress_test,0.12499007702074802,0.2334290300362371,0.06225468358865621,0.1901580551816844,0.3557333333333333,0.24970462369161395,0.2889333333333333,0.42467,0.6560333333333334
Healthcare,40,0.124,50,stress_test,0.15985084994095777,0.27873217360530106,0.08435763110511987,0.237824292935379,0.3646666666666667,0.28972502406447564,0.2863966666666667,0.4477366666666667,0.6529
