domain,tightening,n_seeds,Rel_gap_mean,Rel_gap_sd,Rel_gap_ci_lo,Rel_gap_ci_hi,revoke_rate_mean,revoke_rate_sd,revoke_rate_ci_lo,revoke_rate_ci_hi
RLV,0.025,50,0.08487068092767565,0.015155023090796835,0.080738451916871,0.0891602657809334,0.18918815858779542,0.03208407857263136,0.18055525489297697,0.19840391194682044
Healthcare,0.025,50,0.08054519594324507,0.015135166109429346,0.07630318719424312,0.08473791936513232,0.17923481216478088,0.031530624802280055,0.17061643140035365,0.18766784580085916
RLV,0.05,50,0.13571614715558872,0.0207250605429252,0.13022005099963022,0.1413839522737565,0.2951269759604434,0.04296149815858095,0.28326388068556063,0.3070515110067334
Healthcare,0.05,50,0.13724756876611743,0.018004305333344163,0.1322454212101652,0.14222061552523732,0.2962987002880655,0.03657748685981846,0.28662628941253215,0.30624245282309265
RLV,0.075,50,0.19935630586136877,0.02314934480703855,0.19308924444084533,0.20561347170300914,0.42141152033628887,0.04469064359863803,0.40911757825197914,0.43364417042240744
Healthcare,0.075,50,0.2123343292567337,0.023036329425759103,0.20585664082653862,0.2186272617164979,0.44007344203407583,0.0401783245719076,0.42940568666136686,0.4509856547583875
RLV,0.1,50,0.2756566201092143,0.029120194206698376,0.26739101053750974,0.2835398371728617,0.5620003450298175,0.04751437640620265,0.548884357196628,0.5747522263065177
Healthcare,0.1,50,0.30196949865363354,0.02779350775700327,0.29444826426249265,0.309586590202282,0.6053042877797626,0.04150177689555667,0.593853781569341,0.6167883532583589
RLV,0.125,50,0.34784825199053193,0.02735241575495481,0.3404178262817734,0.35527599617506195,0.7003641753637438,0.03948468500589621,0.6895060179377408,0.7111912251114243
Healthcare,0.125,50,0.3707604449811215,0.02479270150391898,0.3641225623179408,0.3777490834477736,0.7383561229763193,0.03144769001904983,0.7296878377353593,0.7470520779233963
RLV,0.15,50,0.41236078729942355,0.026287049094099416,0.4051579137187477,0.4195272877160728,0.8219736784777162,0.030711495915093152,0.8133643882083759,0.8302647479709441
Healthcare,0.15,50,0.43644760038462777,0.028610101589099417,0.42862154009925246,0.4442315675232622,0.8570544241355111,0.027587744191239327,0.8495395263995738,0.8645354127466388
RLV,0.175,50,0.4406813431124448,0.02924628764560415,0.4327913664874003,0.44916139632234353,0.9066121903037713,0.023666200642631842,0.9001813825749443,0.9131685003796116
Healthcare,0.175,50,0.45058151573571004,0.030836685171314448,0.44228040519497414,0.45918483867307663,0.9307760326749649,0.01885831565166517,0.925593381374752,0.936028044346043
RLV,0.2,50,0.4267715416995669,0.03822251040309625,0.4164807443389707,0.4373648370881908,0.9595906552410383,0.014511212278851037,0.955633461428657,0.9635369252278709
Healthcare,0.2,50,0.42698454510096534,0.03197506858631826,0.4185054825946928,0.43592693816378214,0.9718896424648329,0.012031410949901827,0.968578426688494,0.9751959930685645
