k,domain,role,youden_xi,youden_det,youden_fa,null_p95,null_median
0,RLV,calibration,0.031922305764411026,0.743558282208589,0.15545171339563862,0.05145644336942413,0.013868184213993866
0,Healthcare,calibration,0.03341854636591479,0.8168449197860963,0.12851007598282127,0.04997427868637862,0.012837861459219078
1,RLV,calibration,0.03491478696741855,0.7469135802469136,0.12018489984591679,0.04706619808581502,0.013633758762865824
1,Healthcare,calibration,0.03441604010025063,0.7952755905511811,0.08799206086668872,0.04258024524108294,0.012676552302760692
2,RLV,calibration,0.024441102756892232,0.8361075544174136,0.22564775336175796,0.046135845951249484,0.012330645687191695
2,Healthcare,calibration,0.03441604010025063,0.8364611260053619,0.15434857339291852,0.05042908770155358,0.014039672226164925
3,RLV,calibration,0.029428571428571432,0.7405475880052151,0.1288933068257124,0.042935121603969124,0.010260821261359087
3,Healthcare,calibration,0.026436090225563914,0.8849673202614379,0.16557120500782474,0.044595877981604665,0.011476983772718007
4,RLV,calibration,0.02892982456140351,0.7496723460026212,0.14554151007857874,0.04382522834727324,0.012091407271717999
4,Healthcare,calibration,0.025438596491228073,0.8447293447293447,0.11082756106452789,0.036248820001597445,0.009298861129531912
5,RLV,calibration,0.021947368421052632,0.808,0.17395659432387311,0.04094972667883186,0.008996436844220397
5,Healthcare,calibration,0.026934837092731832,0.8585858585858586,0.14792136641959394,0.04532210147227468,0.010693014544779809
6,RLV,calibration,0.027932330827067673,0.7960264900662252,0.19136,0.049237860542835396,0.012870626862108566
6,Healthcare,calibration,0.03142355889724311,0.8361823361823362,0.0724445914654317,0.035883320165298355,0.010607802227852152
7,RLV,calibration,0.026436090225563914,0.8019125683060109,0.19643457786747393,0.04756900631916648,0.012038562168752468
7,Healthcare,calibration,0.02992731829573935,0.8391891891891892,0.1278745644599303,0.04623590410809538,0.011304313197042368
8,RLV,calibration,0.027932330827067673,0.7722289890377588,0.15651604453176163,0.04593740400650977,0.011745440410951557
8,Healthcare,calibration,0.02743358395989975,0.8447368421052631,0.1361629881154499,0.03935593105134207,0.010643321579404053
9,RLV,calibration,0.02892982456140351,0.7618421052631579,0.13492822966507176,0.0414230256653475,0.011520543991736059
9,Healthcare,calibration,0.026934837092731832,0.8538011695906432,0.180773249738767,0.04530527000248182,0.012057729139977304
