track_id,g_S,g_A,g_D,arm,context_label,viol
6,0.4318554684667679,1.0,0.0,B,sparse_day,No violation of traffic lights
12,0.33519228735233103,0.0,0.5,A,dense_day,No violation of traffic lights
13,0.2996480464682908,0.49949949949949957,0.25,B,sparse_day,No violation of traffic lights
14,0.499445583160808,0.0,0.25,B,sparse_day,No violation of traffic lights
15,0.5950982752847392,0.0,0.125,B,sparse_day,yellow-light running 
16,0.39087338189591353,1.0,0.25,B,sparse_day,yellow-light running 
18,0.38350379334451684,0.0,0.5,A,dense_day,No violation of traffic lights
24,0.2181447489806042,0.9332665999332651,0.75,A,dense_day,No violation of traffic lights
27,0.6374502705767909,1.0,0.75,A,dense_day,No violation of traffic lights
28,0.6339863378569566,1.0,0.625,A,dense_day,No violation of traffic lights
29,0.8434060664385841,1.0,0.625,A,dense_day,No violation of traffic lights
33,0.5855296359304594,0.0,0.25,A,sparse_day,No violation of traffic lights
34,0.277499468696118,1.0,0.125,B,sparse_day,No violation of traffic lights
35,0.12977123910863847,0.0,0.5,A,dense_day,No violation of traffic lights
36,0.33607865463596237,0.0,0.375,B,sparse_day,No violation of traffic lights
37,0.15202816109037445,0.8665331998665327,0.0,B,sparse_day,No violation of traffic lights
38,0.24615504955863926,0.29929929929929733,0.125,B,sparse_day,No violation of traffic lights
39,0.19222390775861023,0.5662328995662367,0.0,B,sparse_day,No violation of traffic lights
40,0.2877879304360684,0.0,0.25,A,sparse_day,No violation of traffic lights
41,0.3153585945650048,0.7664330997664365,0.5,A,dense_day,No violation of traffic lights
43,0.3023995968661509,1.0,0.5,A,dense_day,No violation of traffic lights
44,0.3060277402453785,1.0,0.25,B,sparse_day,yellow-light running 
45,0.32237294834345354,1.0,0.75,B,dense_day,red-light running
46,0.28589070012575096,1.0,0.5,A,dense_day,No violation of traffic lights
47,0.2869294204766743,0.0,0.5,B,dense_day,No violation of traffic lights
48,0.4469877069234418,1.0,0.5,A,dense_day,No violation of traffic lights
50,0.12775646386803052,0.0,0.25,B,sparse_day,No violation of traffic lights
52,0.3589912423258417,0.6329662996329668,0.75,A,dense_day,No violation of traffic lights
53,0.5749960403627091,0.666332999666333,0.5,A,dense_day,No violation of traffic lights
54,0.32543271115401046,1.0,0.375,A,sparse_day,No violation of traffic lights
58,0.31587005829518294,0.0,0.375,B,sparse_day,No violation of traffic lights
59,0.24804449516133728,1.0,0.625,A,dense_day,No violation of traffic lights
60,0.3735327464370719,0.2992992992992999,0.125,A,sparse_day,No violation of traffic lights
61,0.41767785886816217,1.0,0.375,A,sparse_day,No violation of traffic lights
63,0.26363915054346965,1.0,0.375,B,sparse_day,No violation of traffic lights
65,0.34291954086280313,0.0,0.125,B,sparse_day,No violation of traffic lights
71,0.27105418301931494,0.0,0.125,B,sparse_day,No violation of traffic lights
73,0.2508434097693318,0.0,0.25,A,sparse_day,No violation of traffic lights
75,0.3871920142342873,0.0,0.25,B,sparse_day,No violation of traffic lights
76,0.33231890501392836,0.0,0.375,B,sparse_day,No violation of traffic lights
77,0.25245967548564174,0.2992992992992999,0.25,B,sparse_day,No violation of traffic lights
78,0.16893563028033023,0.0,0.5,A,dense_day,No violation of traffic lights
79,0.22610162587587507,0.5995995995996006,0.25,B,sparse_day,No violation of traffic lights
80,0.5548127612613952,1.0,0.125,B,sparse_day,No violation of traffic lights
82,0.08479078053041499,0.0,0.5,A,dense_day,No violation of traffic lights
83,0.30356667345997984,1.0,0.625,A,dense_day,No violation of traffic lights
84,0.2397457990939801,0.0,0.625,A,dense_day,No violation of traffic lights
88,0.3567349189258023,0.0,0.0,B,sparse_day,No violation of traffic lights
90,0.17977393064253602,1.0,0.625,A,dense_day,No violation of traffic lights
