domain,eps_P,TS_mean,TS_p05,TS_p95,TS_min
RLV,0.05,0.9966668112240515,0.9950160221462577,0.9988958401026732,0.9914943305645912
RLV,0.1,0.9867886206537128,0.980207906341436,0.9956728785643351,0.9680501847838087
RLV,0.15,0.9704386913887336,0.9559295094720022,0.9901725746502869,0.931326435571639
RLV,0.2,0.9483513607797865,0.9231507282191247,0.9826644225817869,0.8770365737996332
RLV,0.25,0.9206199459710845,0.8825221170376637,0.9727744619368374,0.8152435920242356
RLV,0.3,0.8877757734855446,0.8352987758282762,0.9612300476250988,0.7335601569227453
RLV,0.35,0.8508291974739246,0.7827260346612378,0.9477209208599117,0.6751467272986486
RLV,0.4,0.8107910726149986,0.7261936253963237,0.9321116844305963,0.5751734834812038
RLV,0.45,0.7672185152106786,0.6669252830437633,0.9149594956720335,0.5250092557903526
RLV,0.5,0.7220609788195507,0.6058463452982468,0.8971974026494289,0.4438597606039453
RLV,0.55,0.6755161291694254,0.5463098333655002,0.8754907772048318,0.34964426698760714
RLV,0.6,0.6292185913435193,0.48662582502115564,0.8537878840690546,0.31416528925781756
RLV,0.65,0.5822898339349706,0.4294714483914839,0.831575164884818,0.24456450301152582
RLV,0.7,0.5356807473209154,0.3749906200090645,0.8073217970463633,0.19623325398623384
RLV,0.75,0.4904981044343897,0.32441976554602986,0.7798412322595604,0.17392896002148298
RLV,0.8,0.4472759834675744,0.2775759281384833,0.7528293907575934,0.1348723289066078
Healthcare,0.05,0.996675225995344,0.9949610101187844,0.9989086975840855,0.9924634373961385
Healthcare,0.1,0.9867586361052018,0.9799975922038219,0.9956202019873743,0.9710574096011483
Healthcare,0.15,0.9705185531010508,0.9556589290319771,0.9900548526137674,0.9335336761782415
Healthcare,0.2,0.94814918634541,0.9225333351334516,0.9824969687914278,0.887373539482318
Healthcare,0.25,0.9206217269047664,0.881765959645787,0.9730494846616745,0.8305470909817622
Healthcare,0.3,0.8878259038161954,0.834010535986074,0.9617680077843078,0.764505705409269
Healthcare,0.35,0.8509732634150882,0.7809166176468124,0.9480411027463554,0.6787895349324059
Healthcare,0.4,0.8103455502873366,0.7244659367233397,0.9317760521882109,0.6324090085226245
Healthcare,0.45,0.7664302655925714,0.6643399671753932,0.9139420217552227,0.5280911366477582
Healthcare,0.5,0.7219812486645697,0.603930812884083,0.896860560752116,0.47360497970482307
Healthcare,0.55,0.675464912093329,0.5439548725272655,0.875875243100618,0.4045252179964404
Healthcare,0.6,0.6288384742848038,0.4842592529744489,0.8535875835153699,0.3561536808761667
Healthcare,0.65,0.582451860868031,0.42661328961911976,0.8300603926966823,0.26638826694102397
Healthcare,0.7,0.536812610138144,0.3729069945272639,0.8052626550393032,0.22302250271073248
Healthcare,0.75,0.49113311154814654,0.32120902094903786,0.7816649349849208,0.18655608738649632
Healthcare,0.8,0.4482515207397732,0.274858610165212,0.7570423736488757,0.14761633856992123
