domain,q_min,tau,A_R,A_imm,event_level
RLV,0.0,0.0,0.8683926645091694,0.8683926645091694,0.99
RLV,0.0,0.7,0.8683926645091694,0.8683926645091694,0.99
RLV,0.0,0.8,0.8683926645091694,0.8673139158576052,0.99
RLV,0.0,0.9,0.8683926645091694,0.8414239482200647,0.985
RLV,0.0,0.95,0.8683926645091694,0.5889967637540453,0.935
RLV,0.0,0.98,0.8683926645091694,0.20604099244875945,0.55
RLV,0.2,0.0,0.8511326860841424,0.8511326860841424,0.975
RLV,0.2,0.7,0.8511326860841424,0.8511326860841424,0.975
RLV,0.2,0.8,0.8511326860841424,0.8500539374325782,0.975
RLV,0.2,0.9,0.8511326860841424,0.8241639697950378,0.97
RLV,0.2,0.95,0.8511326860841424,0.5760517799352751,0.92
RLV,0.2,0.98,0.8511326860841424,0.19956850053937433,0.535
RLV,0.35,0.0,0.8306364617044228,0.8306364617044228,0.95
RLV,0.35,0.7,0.8306364617044228,0.8306364617044228,0.95
RLV,0.35,0.8,0.8306364617044228,0.8295577130528586,0.95
RLV,0.35,0.9,0.8306364617044228,0.8047464940668824,0.945
RLV,0.35,0.95,0.8306364617044228,0.5652642934196332,0.9
RLV,0.35,0.98,0.8306364617044228,0.19848975188781015,0.53
RLV,0.5,0.0,0.7540453074433657,0.7540453074433657,0.855
RLV,0.5,0.7,0.7540453074433657,0.7540453074433657,0.855
RLV,0.5,0.8,0.7540453074433657,0.7529665587918015,0.855
RLV,0.5,0.9,0.7540453074433657,0.7292340884573895,0.85
RLV,0.5,0.95,0.7540453074433657,0.5124056094929881,0.81
RLV,0.5,0.98,0.7540453074433657,0.18122977346278318,0.48
RLV,0.65,0.0,0.6051779935275081,0.6051779935275081,0.68
RLV,0.65,0.7,0.6051779935275081,0.6051779935275081,0.68
RLV,0.65,0.8,0.6051779935275081,0.6051779935275081,0.68
RLV,0.65,0.9,0.6051779935275081,0.5836030204962244,0.68
RLV,0.65,0.95,0.6051779935275081,0.4120819848975189,0.645
RLV,0.65,0.98,0.6051779935275081,0.13700107874865156,0.37
RLV,0.8,0.0,0.2696871628910464,0.2696871628910464,0.32
RLV,0.8,0.7,0.2696871628910464,0.2696871628910464,0.32
RLV,0.8,0.8,0.2696871628910464,0.2696871628910464,0.32
RLV,0.8,0.9,0.2696871628910464,0.2621359223300971,0.32
RLV,0.8,0.95,0.2696871628910464,0.18338727076591155,0.3
RLV,0.8,0.98,0.2696871628910464,0.0593311758360302,0.17
Healthcare,0.0,0.0,0.8511837655016911,0.8511837655016911,0.985
Healthcare,0.0,0.7,0.8511837655016911,0.8511837655016911,0.985
Healthcare,0.0,0.8,0.8511837655016911,0.8511837655016911,0.985
Healthcare,0.0,0.9,0.8511837655016911,0.8196166854565953,0.985
Healthcare,0.0,0.95,0.8511837655016911,0.580608793686584,0.93
Healthcare,0.0,0.98,0.8511837655016911,0.1871476888387824,0.55
Healthcare,0.2,0.0,0.8421645997745209,0.8421645997745209,0.975
Healthcare,0.2,0.7,0.8421645997745209,0.8421645997745209,0.975
Healthcare,0.2,0.8,0.8421645997745209,0.8421645997745209,0.975
Healthcare,0.2,0.9,0.8421645997745209,0.8105975197294251,0.975
Healthcare,0.2,0.95,0.8421645997745209,0.5715896279594137,0.92
Healthcare,0.2,0.98,0.8421645997745209,0.18151071025930102,0.54
Healthcare,0.35,0.0,0.7880496054114995,0.7880496054114995,0.91
Healthcare,0.35,0.7,0.7880496054114995,0.7880496054114995,0.91
Healthcare,0.35,0.8,0.7880496054114995,0.7880496054114995,0.91
Healthcare,0.35,0.9,0.7880496054114995,0.7576099210822999,0.91
Healthcare,0.35,0.95,0.7880496054114995,0.5355129650507328,0.86
Healthcare,0.35,0.98,0.7880496054114995,0.16910935738444194,0.505
Healthcare,0.5,0.0,0.6910935738444194,0.6910935738444194,0.81
Healthcare,0.5,0.7,0.6910935738444194,0.6910935738444194,0.81
Healthcare,0.5,0.8,0.6910935738444194,0.6910935738444194,0.81
Healthcare,0.5,0.9,0.6910935738444194,0.6696730552423901,0.81
Healthcare,0.5,0.95,0.6910935738444194,0.4689966178128523,0.76
Healthcare,0.5,0.98,0.6910935738444194,0.14205186020293123,0.43
Healthcare,0.65,0.0,0.5276211950394588,0.5276211950394588,0.62
Healthcare,0.65,0.7,0.5276211950394588,0.5276211950394588,0.62
Healthcare,0.65,0.8,0.5276211950394588,0.5276211950394588,0.62
Healthcare,0.65,0.9,0.5276211950394588,0.5152198421645998,0.62
Healthcare,0.65,0.95,0.5276211950394588,0.3596392333709132,0.585
Healthcare,0.65,0.98,0.5276211950394588,0.10597519729425028,0.32
Healthcare,0.8,0.0,0.2266065388951522,0.2266065388951522,0.285
Healthcare,0.8,0.7,0.2266065388951522,0.2266065388951522,0.285
Healthcare,0.8,0.8,0.2266065388951522,0.2266065388951522,0.285
Healthcare,0.8,0.9,0.2266065388951522,0.22209695603156707,0.285
Healthcare,0.8,0.95,0.2266065388951522,0.14656144306651633,0.265
Healthcare,0.8,0.98,0.2266065388951522,0.05636978579481398,0.16
