domain,relative_variance_pct,node_noise_std,fleiss_kappa_mean,fleiss_kappa_sd,unanimous_rate_mean,unanimous_rate_sd,mean_admissible_rate,regime
RLV,0,0.0,1.0,0.0,1.0,0.0,0.8,intermediate
Healthcare,0,0.0,1.0,0.0,1.0,0.0,0.776,intermediate
RLV,3,0.0099,0.9256256637519419,0.025638906455947155,0.9559999999999998,0.012995725793078648,0.8033333333333333,nominal
Healthcare,3,0.0093,0.9322615186462068,0.026509128944980705,0.9573333333333334,0.01534781924429516,0.7773333333333332,nominal
RLV,5,0.0165,0.8794740330988204,0.04060843827439036,0.9280000000000002,0.021807236311728154,0.7953333333333334,nominal
Healthcare,5,0.0155,0.8770195217101998,0.06118745503636145,0.9199999999999999,0.038873012632302,0.7783333333333333,nominal
RLV,9,0.0297,0.7645069916053667,0.09817791280305188,0.8573333333333334,0.05707694611467734,0.7856666666666666,nominal
Healthcare,9,0.027899999999999998,0.7819601225963815,0.10270714013885678,0.8586666666666666,0.06950619476788464,0.7713333333333333,nominal
RLV,10,0.033,0.736973254079763,0.11734312200085577,0.836,0.07387677427837369,0.7806666666666666,intermediate
Healthcare,10,0.031,0.7634966643270271,0.1126451477521718,0.8453333333333333,0.07694153624668536,0.7703333333333333,intermediate
RLV,15,0.0495,0.6171108149041288,0.20328483465280517,0.74,0.16539514973407035,0.7566666666666668,intermediate
Healthcare,15,0.0465,0.642355817260612,0.15510350263264305,0.7573333333333333,0.125662687823837,0.7606666666666667,intermediate
RLV,20,0.066,0.4974615788984512,0.22967371687002128,0.6493333333333333,0.21121868604205765,0.7403333333333333,stress_test
Healthcare,20,0.062,0.5146245481482318,0.2434008017907946,0.6533333333333334,0.22276045928804833,0.739,stress_test
RLV,25,0.0825,0.4035244154051335,0.24664903404166874,0.5733333333333334,0.2464413385236603,0.7206666666666667,stress_test
Healthcare,25,0.0775,0.3903473600779283,0.26324726032590245,0.5586666666666666,0.2649276630830889,0.7216666666666668,stress_test
RLV,30,0.099,0.3110651077825214,0.28085830950644725,0.496,0.2932424101509042,0.7026666666666666,stress_test
Healthcare,30,0.093,0.3110208061696785,0.2915300429826643,0.496,0.29809021751439235,0.697,stress_test
RLV,40,0.132,0.1879793900946805,0.29266291586441917,0.4026666666666666,0.30881853715230384,0.6679999999999999,stress_test
Healthcare,40,0.124,0.19139246435152865,0.28291184298057703,0.41066666666666674,0.30921405746397324,0.6663333333333332,stress_test
