scale,domain,TS_gm,TS_mr,TS_mean,n
1,Healthcare,0.9836273840411167,0.9941933765996311,0.9889103803203739,887
1,RLV,0.9835351186235439,0.9941782473685712,0.9888566829960576,927
2,Healthcare,0.9676723944773514,0.9884350841664521,0.9780537393219018,887
2,RLV,0.9674914740639069,0.9884068013767462,0.9779491377203265,927
4,Healthcare,0.9369573084967195,0.9770614470818751,0.9570093777892974,887
4,RLV,0.9366089769417311,0.9770125286568014,0.9568107527992662,927
6,Healthcare,0.9077451691624929,0.965875062826598,0.9368101159945454,887
6,RLV,0.9072414165255409,0.965812662003782,0.9365270392646614,927
8,Healthcare,0.879935883211416,0.9548720063309651,0.9174039447711906,887
8,RLV,0.8792876066199465,0.9548028088960253,0.9170452077579859,927
12,Healthcare,0.8281670964117205,0.9334006634258847,0.8807838799188026,887
12,RLV,0.8272594124292368,0.9333361846122606,0.8802977985207487,927
16,Healthcare,0.7810051289671888,0.912617927767012,0.8468115283671004,887
16,RLV,0.7798739137979903,0.9125799052896896,0.84622690954384,927
24,Healthcare,0.6983975258073681,0.8730074294448996,0.7857024776261339,887
24,RLV,0.696913320293494,0.8730761781916626,0.7849947492425783,927
32,Healthcare,0.6286330678228969,0.8358319577738053,0.7322325127983511,887
32,RLV,0.6269002789382216,0.8360632784483278,0.7314817786932748,927
