domain,tightening,rel_gap_mean,rel_gap_sd,reference_point
RLV,0.025,0.07988742556299536,0.012248841004435478,False
Healthcare,0.025,0.07174808080678452,0.006425906920877369,False
RLV,0.05,0.1339141702671916,0.015393799069843995,True
Healthcare,0.05,0.1513192895817293,0.010937233006645926,True
RLV,0.075,0.1980870350679855,0.020343415215094897,False
Healthcare,0.075,0.23012255110999497,0.009264976138637505,False
RLV,0.1,0.28390885233435076,0.019036976490846638,False
Healthcare,0.1,0.31711739380337906,0.030024369601425425,False
RLV,0.125,0.33990492985035026,0.01566867474770607,False
Healthcare,0.125,0.3967727273274352,0.03809491837008968,False
RLV,0.15,0.40953928374003423,0.016887419909136257,False
Healthcare,0.15,0.4639442204927381,0.049241408451792354,False
RLV,0.175,0.4327014206792315,0.01862144166213921,False
Healthcare,0.175,0.4549013118223396,0.04574991024249705,False
RLV,0.2,0.4237210535935856,0.03670242790667239,False
Healthcare,0.2,0.4136754100370889,0.042285450441577166,False
