xi,proceed,context_review,quarantine_repair,domain
0.002,0.034519956850053934,0.042071197411003236,0.7918015102481122,RLV
0.005,0.13915857605177995,0.042071197411003236,0.6871628910463862,RLV
0.0075,0.23516720604099245,0.042071197411003236,0.5911542610571737,RLV
0.01,0.30960086299892126,0.042071197411003236,0.5167206040992449,RLV
0.015,0.4617044228694714,0.037756202804746494,0.36893203883495146,RLV
0.02,0.5652642934196332,0.032362459546925564,0.2707659115426106,RLV
0.025,0.6418554476806904,0.028047464940668825,0.19848975188781015,RLV
0.03,0.7098166127292341,0.018338727076591153,0.14023732470334413,RLV
0.04,0.7810140237324703,0.011866235167206042,0.07551240560949299,RLV
0.05,0.8230852211434736,0.005393743257820928,0.039913700107874865,RLV
0.065,0.8543689320388349,0.002157497303128371,0.011866235167206042,RLV
0.08,0.8651564185544768,0.0010787486515641855,0.002157497303128371,RLV
0.002,0.0496054114994363,0.030439684329199548,0.7711386696730552,Healthcare
0.005,0.1544532130777903,0.030439684329199548,0.6662908680947013,Healthcare
0.0075,0.2525366403607666,0.030439684329199548,0.5682074408117249,Healthcare
0.01,0.34047350620067646,0.030439684329199548,0.48027057497181513,Healthcare
0.015,0.4881623449830891,0.030439684329199548,0.33258173618940245,Healthcare
0.02,0.5997745208568207,0.02818489289740699,0.22322435174746336,Healthcare
0.025,0.6708004509582863,0.02593010146561443,0.1544532130777903,Healthcare
0.03,0.713641488162345,0.02367531003382187,0.11386696730552424,Healthcare
0.04,0.7835400225479143,0.019165727170236752,0.048478015783540024,Healthcare
0.05,0.8105975197294251,0.015783540022547914,0.02480270574971815,Healthcare
0.065,0.8410372040586246,0.009019165727170236,0.0011273957158962795,Healthcare
0.08,0.8444193912063134,0.006764374295377677,0.0,Healthcare
