"# Table 5. Reliability components, aggregate with bootstrap intervals, and the supervised baseline, for both domain configurations."
,RLV,Healthcare
"Reliability components (pool means, single pass)",,
Triadic alignment,0.714,0.758
"Transition stability, genesis to mutation",0.879,0.880
"Transition stability, mutation to repair",0.955,0.955
"Admissibility survival, repair stage",0.870,0.849
"Governance coherence, measured in Section 3.6",0.717,0.736
Aggregate,,
"Reliability, measured lineage coherence",0.800,0.812
"Reliability, idealized lineage",0.857,0.861
"Reliability, idealized, bootstrap 95% CI over events","[0.841, 0.870]","[0.842, 0.877]"
"Reliability, five-seed mean and SD",0.869 ± 0.001,0.874 ± 0.002
Supervised baseline (five seeds),,
Balanced accuracy,0.595 ± 0.048,0.553 ± 0.035
F1,0.726 ± 0.027,0.691 ± 0.031
