domain,relative_variance_pct,node_noise_std,n_seeds,regime,fleiss_kappa_mean,fleiss_kappa_sd,fleiss_kappa_ci_lo,fleiss_kappa_ci_hi,unanimous_rate_mean,unanimous_rate_sd,unanimous_rate_ci_lo,unanimous_rate_ci_hi,mean_admissible_rate
RLV,0,0.0,50,intermediate,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.7856000000000001
Healthcare,0,0.0,50,intermediate,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.7676
RLV,3,0.0099,50,nominal,0.9106906964331716,0.0421801582323263,0.8992130342628023,0.9221055155414984,0.9474666666666668,0.025964916151382,0.9404,0.9545333333333336,0.7843333333333333
Healthcare,3,0.0093,50,nominal,0.9204368416666904,0.0424958432868577,0.9084589250279734,0.93190667022466,0.9472,0.0300819741717199,0.9390666666666668,0.9553366666666668,0.7647666666666666
RLV,5,0.0165,50,nominal,0.8554621093566523,0.0563465044524236,0.8399016919081934,0.8707370861916717,0.9127999999999998,0.0370043816735065,0.9026666666666664,0.9228,0.7815666666666666
Healthcare,5,0.0155,50,nominal,0.8617959501307904,0.0697929413325451,0.8425129336871569,0.8808976068361652,0.9090666666666668,0.049811617911001,0.8949333333333334,0.9224,0.7631999999999999
RLV,9,0.0297,50,nominal,0.7453770535337375,0.0933792838880665,0.7197590358254932,0.7702918340874516,0.8417333333333332,0.067394799182994,0.8232,0.8597366666666667,0.7729666666666667
Healthcare,9,0.0278999999999999,50,nominal,0.7481099056120631,0.1211672059869266,0.7135346467884104,0.7808229415324571,0.8306666666666667,0.0898070494028669,0.8056000000000002,0.8548,0.7549333333333333
RLV,10,0.033,50,intermediate,0.7200320525629756,0.099298719068922,0.6921162499336533,0.747081378446972,0.8246666666666667,0.0725342987130634,0.8045333333333333,0.8440000000000001,0.7704
Healthcare,10,0.031,50,intermediate,0.7206198735880293,0.1317405129372573,0.6839834606893168,0.755750193807483,0.8098666666666666,0.1019825248469053,0.7813333333333334,0.8369333333333334,0.7517999999999999
RLV,15,0.0495,50,intermediate,0.5936741901595554,0.1335449928281271,0.5567833246018707,0.6297135467757256,0.7348,0.1101743824934958,0.7034666666666667,0.7638666666666668,0.7555333333333332
Healthcare,15,0.0465,50,intermediate,0.5878166120951305,0.1890934726513297,0.5355650415837749,0.638948573437137,0.7074666666666667,0.1669447476048122,0.6592,0.7528,0.7345
RLV,20,0.066,50,stress_test,0.4684407660115617,0.1662108397373936,0.4224516558542112,0.5135126760721684,0.6390666666666667,0.1516770049552652,0.5982666666666667,0.6801366666666666,0.7355333333333333
Healthcare,20,0.062,50,stress_test,0.4654289064628276,0.2358108197397939,0.4000062160115504,0.5308111612220701,0.6069333333333333,0.2225963472001463,0.5453333333333333,0.6669366666666665,0.7148333333333332
RLV,25,0.0825,50,stress_test,0.3617584247318634,0.1910004057371613,0.3094776788401956,0.413402449761501,0.5522666666666666,0.1923119159487342,0.4993333333333333,0.6039999999999999,0.7145999999999999
Healthcare,25,0.0775,50,stress_test,0.3638373133371124,0.2644168945514439,0.290676582041324,0.4368993770578936,0.5246666666666666,0.2584350249705315,0.4529266666666667,0.5921366666666666,0.6968333333333332
RLV,30,0.099,50,stress_test,0.2686305661543875,0.2148352514436902,0.2097296278124643,0.3273836830987218,0.4727999999999999,0.2241551131230983,0.4118666666666666,0.5341333333333333,0.6924666666666667
Healthcare,30,0.093,50,stress_test,0.2833126903716532,0.2742334556794424,0.2093301233575151,0.3594286650155284,0.4592000000000001,0.2731545458082138,0.3858666666666666,0.5337366666666666,0.6804666666666667
RLV,40,0.132,50,stress_test,0.124990077020748,0.2334290300362371,0.0622546835886562,0.1901580551816844,0.3557333333333333,0.2497046236916139,0.2889333333333333,0.42467,0.6560333333333334
Healthcare,40,0.124,50,stress_test,0.1598508499409577,0.278732173605301,0.0843576311051198,0.237824292935379,0.3646666666666667,0.2897250240644756,0.2863966666666667,0.4477366666666667,0.6529
