domain,delta,eps,floor_factor_eps_pow_wSR,n_seeds,SR_zero_events_mean,SR_zero_frac_mean,rel_mean,rel_ci_lo,rel_ci_hi,dev_mean,dev_ci_lo,dev_ci_hi,dev_sr0_mean,dev_sr0_ci_lo,dev_sr0_ci_hi
RLV,0.33,0.0,0.0,50,3.0,0.015,0.8452305191572936,0.8407941083485846,0.8497723733500618,0.0,0.0,0.0,0.0,0.0,0.0
RLV,0.33,1e-08,0.01,50,3.0,0.015,0.8453645981880719,0.8409404240880725,0.8499008743395495,0.0001340790307784,0.0001137613848204,0.0001544474335035,0.0089476152628447,0.0089266927767238,0.00896889802892
RLV,0.33,1e-06,0.0316227766016837,50,3.0,0.015,0.8456545142810213,0.8411561456137314,0.8499747233907871,0.0004239951237277,0.0003592344723035,0.0004884750751215,0.0282948438574754,0.0282267669079516,0.0283628330703859
RLV,0.33,0.0001,0.1,50,3.0,0.015,0.8465713094650782,0.842246662809649,0.8509816592474215,0.0013407903077845,0.0011363765740427,0.0015444386774851,0.089476152628447,0.0892656276491533,0.0896876222958141
RLV,0.33,0.01,0.3162277660168379,50,3.0,0.015,0.849470470394571,0.8453896236325472,0.8535766785596861,0.0042399512372774,0.0035995809437844,0.0048815155784839,0.2829484385747541,0.2822744109932488,0.2836260350168552
Healthcare,0.31,0.0,0.0,50,4.48,0.0224,0.835542987797759,0.8310374626842829,0.8401463355388771,0.0,0.0,0.0,0.0,0.0,0.0
Healthcare,0.31,1e-08,0.01,50,4.48,0.0224,0.8357443797460364,0.8313438890971764,0.8402466549817128,0.0002013919482773,0.0001768998971591,0.0002265886094931,0.0089984220683486,0.0089752093981144,0.009020717422729
Healthcare,0.31,1e-06,0.0316227766016837,50,4.48,0.0224,0.8361798450567342,0.8317538055759957,0.8406166466740524,0.0006368572589751,0.0005611069488872,0.0007185224666492,0.0284555090835049,0.0283841132606274,0.0285268972111461
Healthcare,0.31,0.0001,0.1,50,4.48,0.0224,0.8375569072805326,0.833209151137791,0.8419334413901709,0.0020139194827733,0.001768961981828,0.0022700150348752,0.089984220683486,0.0897539750537905,0.0902075683939433
Healthcare,0.31,0.01,0.3162277660168379,50,4.48,0.0224,0.8419115603875111,0.8378348339912343,0.8459047511381347,0.0063685725897519,0.0056091643506486,0.0071849645170089,0.2845550908350492,0.2838383334250098,0.2852641668857866
