domain,delta,n_seeds,Rel_exact_mean,Rel_exact_ci_lo,Rel_exact_ci_hi,Rel_floor_mean,Rel_floor_ci_lo,Rel_floor_ci_hi,dev_mean,dev_ci_lo,dev_ci_hi,frac_sr0_mean,frac_sr0_ci_lo,frac_sr0_ci_hi,SR_mean_mean,SR_mean_ci_lo,SR_mean_ci_hi
RLV,0.33,50,0.8452305191572936,0.8407069931491228,0.8497891993517861,0.8456545142810213,0.8412685327740653,0.8502225958588422,0.0004239951237277,0.0003599379491061,0.0004888411144575,0.015,0.0128,0.0172,0.8550650000000002,0.8490097499999999,0.8616434166666667
RLV,0.3,50,0.8149813888123886,0.8095425701894661,0.8204288858279982,0.8158095293530385,0.8102912247400065,0.8212570696563707,0.00082814054065,0.0007293012982484,0.0009313846119061,0.0292999999999999,0.0256999999999999,0.0331,0.7829516666666666,0.7751615833333333,0.7908234583333335
RLV,0.27,50,0.7707250293776599,0.7641592358521796,0.7774480555009794,0.7722601943546961,0.7659048467417664,0.778884804257347,0.0015351649770362,0.0013963312114647,0.0016734064031757,0.0543,0.0495,0.0591,0.688805,0.6797132916666667,0.6981617499999999
RLV,0.24,50,0.7034486124025118,0.6950469528157801,0.7117285251942667,0.7064324091504726,0.6982276212096626,0.7146583148619919,0.0029837967479606,0.0027744687385982,0.0031933130894564,0.1054999999999999,0.0982,0.1131,0.5738333333333334,0.5635764999999999,0.5845420416666666
RLV,0.21,50,0.6119235251403807,0.6014810309639459,0.6226820912300667,0.617191122662167,0.6071555569068483,0.6275342157655922,0.0052675975217863,0.0049587259192199,0.0055636155586182,0.1861999999999999,0.1752,0.1972025,0.4420600000000001,0.4316448749999999,0.4527117916666667
RLV,0.18,50,0.49162456835913,0.4807349588452881,0.5031134723257977,0.5004339262710963,0.4898985943222663,0.5115275229437473,0.0088093579119663,0.0084131466966663,0.0091838208358393,0.3113,0.2973,0.3248,0.3059266666666666,0.2977444999999999,0.3145117916666666
RLV,0.15,50,0.3460998425882826,0.3367147383471185,0.3557392728598637,0.3599988291493415,0.3507865213270519,0.369226269597806,0.013898986561059,0.0135240608552262,0.01425113104575,0.491,0.4779,0.5036,0.184765,0.17882825,0.1909550416666666
RLV,0.12,50,0.1953285392790524,0.188265569788531,0.2023503434844135,0.2150912450854198,0.2082079143362548,0.221821843663457,0.0197627058063674,0.019476150996294,0.020051877412207,0.6981000000000002,0.6877000000000001,0.7087025,0.0878966666666666,0.0844932916666666,0.0912317499999999
RLV,0.1,50,0.1139047009194399,0.1096177805053944,0.118213306243918,0.1371171593860554,0.1329972936268396,0.1412347348939607,0.0232124584666155,0.0230493634172716,0.0233753910660332,0.8199000000000001,0.8135000000000001,0.8262999999999999,0.0471033333333333,0.0450466666666666,0.0492167083333333
RLV,0.08,50,0.0547660583869193,0.0520495261141106,0.0575346158853085,0.0805794513869578,0.0778997494980734,0.0832344380558543,0.0258133930000385,0.0256865321128052,0.0259366200405488,0.9117,0.9073,0.9162,0.0210833333333333,0.0199365833333333,0.0222733333333333
RLV,0.06,50,0.018113775722851,0.0162465038307612,0.0200703049822495,0.0455923951607231,0.0437483524729508,0.047463542761381,0.027478619437872,0.0273793423945933,0.0275798583184512,0.9705,0.9674,0.9737,0.0066833333333333,0.0059599583333333,0.007395
Healthcare,0.33,50,0.8521073435300981,0.8477351194427898,0.8564340780863516,0.8525192840277285,0.8483367620780088,0.8567773054636931,0.0004119404976305,0.0003350905589425,0.0004892894649988,0.0145,0.0118999999999999,0.0173,0.8626150000000001,0.8566365833333333,0.8687085416666668
Healthcare,0.3,50,0.826139934262035,0.821674583722953,0.8305765082065195,0.8269079958840906,0.8224570464209916,0.831271077764213,0.0007680616220556,0.0006899939513173,0.0008514917067413,0.027,0.0242,0.0299,0.8013483333333333,0.7946782916666666,0.8081950416666666
Healthcare,0.27,50,0.7851127574518841,0.7797196634377296,0.7905532500470823,0.7864977673174758,0.7811082052423296,0.7919113387684844,0.0013850098655915,0.0012694495066134,0.0014993874875358,0.0487,0.0447,0.0528,0.711625,0.7039813333333333,0.7194202083333335
Healthcare,0.24,50,0.7206725610792573,0.713350960633525,0.7278564161264774,0.723323086799757,0.7165635987847948,0.7305148515937465,0.0026505257204993,0.00244760048095,0.0028538211704017,0.0932,0.0859,0.1001999999999999,0.593725,0.585833125,0.6018936666666668
