domain,xi,n_eval_datasets,detection_mean,detection_ci_lo,detection_ci_hi,false_flag_mean,false_flag_ci_lo,false_flag_ci_hi,proceed_mean,proceed_ci_lo,proceed_ci_hi,context_review_mean,context_review_ci_lo,context_review_ci_hi,quarantine_repair_mean,quarantine_repair_ci_lo,quarantine_repair_ci_hi
Healthcare,0.01,40,0.9836065947073604,0.9818238051784284,0.9853396738441752,0.5240717498022567,0.5080190750169921,0.5400473506809447,0.3926754874421641,0.3790480837173206,0.4058232237162008,0.0344851478809519,0.0302348683699734,0.0389175274892934,0.3988801067234754,0.3862396162104297,0.4112077639649659
Healthcare,0.015,40,0.961094387430412,0.9582364957881148,0.96403805628256,0.3584157958494821,0.3435201513089072,0.3733394393203966,0.5296923022479116,0.5168570715789762,0.5421849570062809,0.0336824136777399,0.0294082619140927,0.038277169055499,0.26266602612094,0.251238988858171,0.2744346333438063
Healthcare,0.02,40,0.925781862300554,0.920858361204478,0.9307925218122622,0.2450323721570912,0.2325061892333398,0.2578481764704265,0.6232989375821327,0.6120803894451482,0.6347171877449979,0.0286868424094335,0.0245898652079855,0.0330104223140407,0.1740549620550253,0.1645242839649376,0.1838466255095939
Healthcare,0.025,40,0.8812088248871983,0.8751555478568226,0.8873269326234492,0.1699273623945102,0.1607056909883641,0.1797256393183205,0.6854116666425775,0.6761616663225123,0.6947068325427362,0.0236675052814566,0.0200568837782461,0.0274948409102101,0.1169615701225574,0.1098568455826416,0.124429672443053
Healthcare,0.03,40,0.8273580058886122,0.8187159572725643,0.8357383463419845,0.1181722855298886,0.1101814074009748,0.1260954303638071,0.7284791450564498,0.7199349515522658,0.7371440811612856,0.019584814849608,0.0163458577097362,0.0230040151276551,0.0779767821405336,0.0723160383963095,0.0838882572110355
Healthcare,0.035,40,0.7688525437795427,0.7581848196242981,0.7794446047608027,0.0834284797764916,0.0773902200919562,0.0895258418845008,0.7573290801757464,0.749757814704021,0.7653338716089386,0.0166688383168256,0.0139477658683719,0.0196147339438056,0.0520428235540194,0.047793913538788,0.0565915767322126
Healthcare,0.04,40,0.7076512333468769,0.6951906222060934,0.7194363798658565,0.0576494586592667,0.0529690057999359,0.0624096658508826,0.7786569210746747,0.7717014258838318,0.7860536809829531,0.0134455715124063,0.0111211409634264,0.0159234760839635,0.0339382494595105,0.0308796705851485,0.0371838002607761
Healthcare,0.05,40,0.5857639637411725,0.570336181632633,0.6005243519498242,0.0279250223347813,0.0242904657685658,0.0316707114909971,0.8028750316216854,0.7964442889088609,0.8095400345470484,0.0076997758145343,0.006045061724829,0.0094579050501895,0.0154659346103717,0.013283439768403,0.0177974068503852
Healthcare,0.065,40,0.4351379010354708,0.4200216530931917,0.4493730874688678,0.0091957854035121,0.0076124459622297,0.0109151084541267,0.8183476690851424,0.8117296445572514,0.8251619232627689,0.0027979204096314,0.0019935054913492,0.0037355843046291,0.0048951525518175,0.003926533283987,0.0058977822951208
Healthcare,0.08,40,0.3187719861746497,0.3061961852114621,0.3310871599197245,0.0039316757125999,0.0031574639945011,0.0047624092623204,0.8228157334994574,0.8161239068360534,0.8298072592785638,0.0013330779066588,0.0009692173729468,0.0017254310072658,0.0018919306404753,0.0014013549329976,0.0024081806574484
RLV,0.01,40,0.9574009161240448,0.9536319790068856,0.9610205687106048,0.5987958872704349,0.5843235156411062,0.6129652234983769,0.343666732561881,0.3307838547305834,0.3565037877541704,0.0310647798286133,0.0276547484250317,0.0346918141550036,0.4816173228774864,0.469645042974338,0.4934679399260495
RLV,0.015,40,0.9190491649112952,0.9140958894403638,0.9239126645126954,0.4388879519930467,0.4245011849758123,0.4536092718115195,0.4807994986491615,0.4675057509150903,0.4941463953638441,0.0288341722199973,0.0256300915898048,0.0323675256766435,0.3467151643988219,0.3352433550553101,0.3579401767004241
RLV,0.02,40,0.8736939607176261,0.8680598678562352,0.8792392104871662,0.3224530248119733,0.3087201380909361,0.3362067078006672,0.5807486840159864,0.5678309749598782,0.5935070944985881,0.02424116150127,0.0213192629239221,0.0274225509447143,0.2513589897507243,0.240466628498526,0.2616377630054016
RLV,0.025,40,0.8212809668755398,0.8138228110796739,0.8286030987196342,0.2369862380069687,0.2239809019827489,0.2503637006943159,0.6540837207798249,0.6410749554517831,0.6668662330749766,0.0201422297735176,0.0174640690481789,0.0230596436661003,0.1821228847146382,0.1726465359909874,0.1916698461308529
RLV,0.03,40,0.7668250635703566,0.757812712163983,0.775598260020763,0.1766237801552335,0.1656477185595779,0.1876328311326003,0.7058025488777316,0.6944343179657203,0.7172356946749843,0.0169446255062321,0.0148208162824894,0.019197972839221,0.1336016608840169,0.1254383463051989,0.141699696975959
RLV,0.035,40,0.7073501139974507,0.6980937435603625,0.7168389228565883,0.1319895212762772,0.1227264807657562,0.1409878845909367,0.7440105106525664,0.7339037590965051,0.754201003578154,0.0141846460185187,0.0122859020962021,0.0161630323498789,0.0981536785968956,0.0914813443541679,0.1047677508072869
RLV,0.04,40,0.6491587190497972,0.6388503776772245,0.6595627586908843,0.0986147645486761,0.0910708137629961,0.1060274775704345,0.7725431392624345,0.7631878335464806,0.7814805631858711,0.0116435176599382,0.0100580408465378,0.0133221717356907,0.0721621783456079,0.0665253677131304,0.07772264027087
