domain,method,reference,n_seeds,agreement_mean,ci_lo,ci_hi,chance
Healthcare,lime,local,50,0.8962666666666667,0.8897333333333333,0.9029333333333334,0.25
Healthcare,lime,pool,50,0.2758666666666666,0.2646666666666666,0.2872,0.25
Healthcare,shapley,local,50,0.8661333333333333,0.8597333333333332,0.8725333333333333,0.25
Healthcare,shapley,pool,50,0.2484,0.2351999999999999,0.2613333333333333,0.25
Healthcare,shapley_vs_lime,local,50,0.8657333333333335,0.8578666666666667,0.8732,0.25
Healthcare,shapley_vs_lime,pool,50,0.5782666666666666,0.5449333333333334,0.6132,0.25
RLV,lime,local,50,0.8641333333333333,0.8577333333333335,0.8704033333333334,0.25
RLV,lime,pool,50,0.2765333333333333,0.2638666666666666,0.2890666666666666,0.25
RLV,shapley,local,50,0.8473333333333332,0.8390666666666668,0.8556,0.25
RLV,shapley,pool,50,0.2613333333333333,0.2495999999999999,0.2730666666666666,0.25
RLV,shapley_vs_lime,local,50,0.8633333333333333,0.8568000000000001,0.8698666666666667,0.25
RLV,shapley_vs_lime,pool,50,0.5805333333333333,0.5453333333333333,0.61587,0.25
