domain,width_x_halfwidth,k,shapley_local_vs_cf,lime_local_vs_cf,shapley_vs_lime
Healthcare,0.25,24.5,0.8654666666666667,0.8956000000000001,0.8758666666666667
Healthcare,0.5,24.5,0.8653333333333333,0.8909333333333334,0.8632
Healthcare,1.0,24.5,0.7169333333333333,0.8406666666666667,0.6930666666666667
Healthcare,2.0,24.5,0.36133333333333334,0.6285333333333333,0.33986666666666665
Healthcare,4.0,24.5,0.2685333333333333,0.32093333333333335,0.25666666666666665
RLV,0.25,24.5,0.8408,0.8710666666666667,0.8657333333333334
RLV,0.5,24.5,0.8402666666666667,0.8668,0.8626666666666667
RLV,1.0,24.5,0.6909333333333333,0.8169333333333333,0.6786666666666666
RLV,2.0,24.5,0.3692,0.6362666666666666,0.3406666666666666
RLV,4.0,24.5,0.2626666666666666,0.2921333333333333,0.25853333333333334
