domain,seed,arm,kind,A,TS,SR,GC,Rel
RLV,0,baseline,-,0.7144166899678185,0.9170841307457028,0.8700833333333334,1.0,0.8569376806519193
RLV,0,misalignment,convergent,0.4022328050289062,0.818098903258189,0.8700833333333334,1.0,0.7210757360885726
RLV,0,instability,convergent,0.7144166899678185,0.8665052839416171,0.8700833333333334,1.0,0.8446891487644372
RLV,0,releasability,convergent,0.6315772204719022,0.9119486019533518,0.5529999999999999,1.0,0.689962091376166
RLV,0,lineage,convergent,0.7144166899678185,0.9170841307457028,0.8700833333333334,0.7,0.7838333719185137
RLV,0,candidate order,discriminant,0.7144166899678184,0.9170841307457028,0.8700833333333334,1.0,0.8569376806519193
RLV,0,quality scale,discriminant,0.7144166899678185,0.917084130760728,0.8700833333333334,1.0,0.8569376806553964
RLV,0,enforced admissibility,inflation,0.7197787996961655,0.9141734247199281,1.0,1.0,0.9005699266488029
RLV,0,context naming,discriminant,0.7144166899678185,0.9170841307457028,0.8700833333333334,1.0,0.8569376806519193
RLV,1,baseline,-,0.7248041846791242,0.9170841307457028,0.8700833333333334,1.0,0.8600357706144908
RLV,1,misalignment,convergent,0.4432915672311381,0.826593144274057,0.8700833333333334,1.0,0.7406750444829894
RLV,1,instability,convergent,0.7248041846791242,0.8654968946345933,0.8700833333333334,1.0,0.8475933319061812
RLV,1,releasability,convergent,0.6447910327267544,0.9119486019533518,0.5529999999999999,1.0,0.6935429521876302
RLV,1,lineage,convergent,0.7248041846791242,0.9170841307457028,0.8700833333333334,0.7,0.7866671676036583
RLV,1,candidate order,discriminant,0.7248041846791242,0.9170841307457028,0.8700833333333334,1.0,0.8600357706144908
RLV,1,quality scale,discriminant,0.7248041846791242,0.917084130760728,0.8700833333333334,1.0,0.8600357706179804
RLV,1,enforced admissibility,inflation,0.7308373090837961,0.9141734247199281,1.0,1.0,0.9040092097283312
RLV,1,context naming,discriminant,0.7248041846791242,0.9170841307457028,0.8700833333333334,1.0,0.8600357706144908
RLV,2,baseline,-,0.7018005835235387,0.9170841307457028,0.8700833333333334,1.0,0.853129133683835
RLV,2,misalignment,convergent,0.425389465007068,0.8258156569913198,0.8700833333333334,1.0,0.7327763747052312
RLV,2,instability,convergent,0.7018005835235387,0.8649089651197386,0.8700833333333334,1.0,0.8407244916790134
RLV,2,releasability,convergent,0.6221778701075625,0.9119486019533518,0.5529999999999999,1.0,0.6873805756981193
RLV,2,lineage,convergent,0.7018005835235387,0.9170841307457028,0.8700833333333334,0.7,0.7803497274487871
RLV,2,candidate order,discriminant,0.7018005835235387,0.9170841307457028,0.8700833333333334,1.0,0.853129133683835
RLV,2,quality scale,discriminant,0.7018005835235387,0.917084130760728,0.8700833333333334,1.0,0.8531291336872968
RLV,2,enforced admissibility,inflation,0.7078176706479186,0.9141734247199281,1.0,1.0,0.8968050137867745
RLV,2,context naming,discriminant,0.7018005835235387,0.9170841307457028,0.8700833333333334,1.0,0.853129133683835
RLV,3,baseline,-,0.7139129586515326,0.9170841307457028,0.8700833333333334,1.0,0.8567865851722165
RLV,3,misalignment,convergent,0.44441418746840217,0.827088540130415,0.8700833333333334,1.0,0.7413220134200655
RLV,3,instability,convergent,0.7139129586515326,0.8679705989736817,0.8700833333333334,1.0,0.8449378275299096
RLV,3,releasability,convergent,0.6316987513564674,0.9119486019533518,0.5529999999999999,1.0,0.6899952803713413
RLV,3,lineage,convergent,0.7139129586515326,0.9170841307457028,0.8700833333333334,0.7,0.7836951662099645
RLV,3,candidate order,discriminant,0.7139129586515325,0.9170841307457028,0.8700833333333334,1.0,0.8567865851722165
RLV,3,quality scale,discriminant,0.7139129586515326,0.917084130760728,0.8700833333333334,1.0,0.8567865851756931
RLV,3,enforced admissibility,inflation,0.7201251169307693,0.9141734247199281,1.0,1.0,0.9006782330582754
RLV,3,context naming,discriminant,0.7139129586515326,0.9170841307457028,0.8700833333333334,1.0,0.8567865851722165
RLV,4,baseline,-,0.6988987641204575,0.9170841307457028,0.8700833333333334,1.0,0.8522458790176887
RLV,4,misalignment,convergent,0.40490446203289215,0.8214820117754439,0.8700833333333334,1.0,0.7229056037244078
RLV,4,instability,convergent,0.6988987641204575,0.8661272879068241,0.8700833333333334,1.0,0.840051752347857
RLV,4,releasability,convergent,0.6181711846342747,0.9119486019533518,0.5529999999999999,1.0,0.6862712491061452
RLV,4,lineage,convergent,0.6988987641204575,0.9170841307457028,0.8700833333333334,0.7,0.7795418221613201
RLV,4,candidate order,discriminant,0.6988987641204575,0.9170841307457028,0.8700833333333334,1.0,0.8522458790176887
RLV,4,quality scale,discriminant,0.6988987641204575,0.917084130760728,0.8700833333333334,1.0,0.8522458790211468
RLV,4,enforced admissibility,inflation,0.7043548925428266,0.9141734247199281,1.0,1.0,0.8957061608077984
RLV,4,context naming,discriminant,0.6988987641204575,0.9170841307457028,0.8700833333333334,1.0,0.8522458790176887
Healthcare,0,baseline,-,0.7583359988305259,0.9171212450434396,0.8492500000000001,1.0,0.860996489007288
Healthcare,0,misalignment,convergent,0.42295422766020313,0.8112857992193517,0.8492500000000001,1.0,0.721046824559501
Healthcare,0,instability,convergent,0.7583359988305259,0.8669831516300954,0.8492500000000001,1.0,0.8487755382560073
Healthcare,0,releasability,convergent,0.690649900436436,0.9137176154171758,0.52875,1.0,0.6684771973161426
Healthcare,0,lineage,convergent,0.7583359988305259,0.9171212450434396,0.8492500000000001,0.7,0.7875459282817016
Healthcare,0,candidate order,discriminant,0.7583359988305259,0.9171212450434396,0.8492500000000001,1.0,0.860996489007288
Healthcare,0,quality scale,discriminant,0.7583359988305259,0.9171212450585517,0.8492500000000001,1.0,0.8609964890108117
Healthcare,0,enforced admissibility,inflation,0.7626896049312956,0.9138764429244068,1.0,1.0,0.9136381271294107
Healthcare,0,context naming,discriminant,0.7583359988305259,0.9171212450434396,0.8492500000000001,1.0,0.860996489007288
Healthcare,1,baseline,-,0.7392001369700875,0.9171212450434396,0.8492500000000001,1.0,0.8555127216120547
Healthcare,1,misalignment,convergent,0.44649628765112714,0.8152057286550325,0.8492500000000001,1.0,0.7318555368072467
Healthcare,1,instability,convergent,0.7392001369700875,0.8708867939314502,0.8492500000000001,1.0,0.8443689001838528
Healthcare,1,releasability,convergent,0.6692872721197131,0.9137176154171758,0.52875,1.0,0.6632469333237089
Healthcare,1,lineage,convergent,0.7392001369700875,0.9171212450434396,0.8492500000000001,0.7,0.782529974396989
Healthcare,1,candidate order,discriminant,0.7392001369700872,0.9171212450434396,0.8492500000000001,1.0,0.8555127216120547
Healthcare,1,quality scale,discriminant,0.7392001369700875,0.9171212450585517,0.8492500000000001,1.0,0.855512721615556
Healthcare,1,enforced admissibility,inflation,0.7438438314200071,0.9138764429244068,1.0,1.0,0.9079411494622741
Healthcare,1,context naming,discriminant,0.7392001369700875,0.9171212450434396,0.8492500000000001,1.0,0.8555127216120547
Healthcare,2,baseline,-,0.7240105269247964,0.9171212450434396,0.8492500000000001,1.0,0.8510835226705512
Healthcare,2,misalignment,convergent,0.41663121683867504,0.8215015364876352,0.8492500000000001,1.0,0.7205002105895233
Healthcare,2,instability,convergent,0.7240105269247964,0.8669760714105366,0.8492500000000001,1.0,0.8391145743519592
Healthcare,2,releasability,convergent,0.6565314976672466,0.9137176154171758,0.52875,1.0,0.6600639298118705
Healthcare,2,lineage,convergent,0.7240105269247964,0.9171212450434396,0.8492500000000001,0.7,0.7784786250169787
Healthcare,2,candidate order,discriminant,0.7240105269247964,0.9171212450434396,0.8492500000000001,1.0,0.8510835226705512
Healthcare,2,quality scale,discriminant,0.7240105269247964,0.9171212450585517,0.8492500000000001,1.0,0.8510835226740343
Healthcare,2,enforced admissibility,inflation,0.7283835519130578,0.9138764429244068,1.0,1.0,0.9031861944397539
Healthcare,2,context naming,discriminant,0.7240105269247964,0.9171212450434396,0.8492500000000001,1.0,0.8510835226705512
Healthcare,3,baseline,-,0.7424830818328706,0.9171212450434396,0.8492500000000001,1.0,0.8564610221594348
Healthcare,3,misalignment,convergent,0.44615087856983476,0.8167011595113658,0.8492500000000001,1.0,0.7317816175028602
Healthcare,3,instability,convergent,0.7424830818328706,0.8640278698918639,0.8492500000000001,1.0,0.8436943094334481
Healthcare,3,releasability,convergent,0.6728566638690973,0.9137176154171758,0.52875,1.0,0.6641294647550631
Healthcare,3,lineage,convergent,0.7424830818328706,0.9171212450434396,0.8492500000000001,0.7,0.7833973765808673
Healthcare,3,candidate order,discriminant,0.7424830818328706,0.9171212450434396,0.8492500000000001,1.0,0.8564610221594348
Healthcare,3,quality scale,discriminant,0.7424830818328706,0.9171212450585517,0.8492500000000001,1.0,0.85646102216294
Healthcare,3,enforced admissibility,inflation,0.7468326004807423,0.9138764429244068,1.0,1.0,0.908851806745499
Healthcare,3,context naming,discriminant,0.7424830818328706,0.9171212450434396,0.8492500000000001,1.0,0.8564610221594348
Healthcare,4,baseline,-,0.73169178428507,0.9171212450434396,0.8492500000000001,1.0,0.8533319507514925
Healthcare,4,misalignment,convergent,0.4240344994337979,0.815045183358889,0.8492500000000001,1.0,0.7220442482473007
Healthcare,4,instability,convergent,0.73169178428507,0.868022583087481,0.8492500000000001,1.0,0.8415173424300428
Healthcare,4,releasability,convergent,0.6662923713049729,0.9137176154171758,0.52875,1.0,0.662503717080172
Healthcare,4,lineage,convergent,0.73169178428507,0.9171212450434396,0.8492500000000001,0.7,0.780535242439683
Healthcare,4,candidate order,discriminant,0.73169178428507,0.9171212450434396,0.8492500000000001,1.0,0.8533319507514925
Healthcare,4,quality scale,discriminant,0.73169178428507,0.9171212450585517,0.8492500000000001,1.0,0.8533319507549848
Healthcare,4,enforced admissibility,inflation,0.7358311982260926,0.9138764429244068,1.0,1.0,0.9054861406661879
Healthcare,4,context naming,discriminant,0.73169178428507,0.9171212450434396,0.8492500000000001,1.0,0.8533319507514925
