domain,xi,detection,false_flag
RLV,0.005,0.9838562290587877,0.8413045174377779
RLV,0.01,0.954614681693573,0.6458609659046579
RLV,0.02,0.8595796527566251,0.3507841148474682
RLV,0.03,0.7633262260127932,0.18233596005305452
RLV,0.05,0.5306122448979592,0.05305453694312241
RLV,0.075,0.3000304599451721,0.006397752984317703
RLV,0.1,0.13128236369174537,0.0
RLV,0.15,0.023149558330795003,0.0
Healthcare,0.005,0.9980276134122288,0.8200364902968983
Healthcare,0.01,0.9921104536489151,0.6021728313153093
Healthcare,0.02,0.9444444444444444,0.29374689003151433
Healthcare,0.03,0.8691650230111768,0.1614695637750871
Healthcare,0.05,0.6551610782380013,0.04834964339028031
Healthcare,0.075,0.41452991452991456,0.009537236689334882
Healthcare,0.1,0.26298487836949375,0.0013269198872118096
Healthcare,0.15,0.08744247205785667,0.0
